player_name,team_name,Total_Passes,AccLB,InAccLB,AccSP,InAccSP
Salvatore Sirigu,Fiorentina,29,9,10,10,0
Victor Osimhen,Napoli,11.6,0.3,0.1,7.9,3.3
Khvicha Kvaratskhelia,Napoli,30.5,1.3,0.9,24.3,4.1
Francesco Bardi,Bologna,17,6,4,7,0
Sergej Milinkovic-Savic,Lazio,52.2,2.2,1.9,38,10
Paulo Dybala,Roma,28.4,2.2,0.7,21.2,4.3
Rafael Leão,AC Milan,21.2,1.3,0.5,14.4,4.9
Lautaro Martínez,Inter,17.3,0.6,0.3,12.6,4
Mattia Zaccagni,Lazio,27.9,0.4,0.3,23.1,4
Domenico Berardi,Sassuolo,31.2,3.1,1.4,19.1,7.7
Armand Laurienté,Sassuolo,24.6,0.5,0.6,18.9,4.5
Adrien Rabiot,Juventus,35.5,1.5,0.8,28.2,5
Teun Koopmeiners,Atalanta,46.5,2.8,4.2,33.6,6
Felipe Anderson,Lazio,35.1,0.8,0.6,27.2,6.5
Lorenzo Pellegrini,Roma,29.5,1.6,1.1,22.1,4.8
Mário Rui,Napoli,65,5.1,3.5,49.5,6.7
Lucas Martínez,Fiorentina,55.9,6.3,5,39.4,5.2
Hakan Çalhanoglu,Inter,45.4,3,1.5,37.1,3.9
Kim Min-Jae,Napoli,80,3.4,2.5,69.3,4.7
Gerard Deulofeu,Udinese,32,0.6,0.8,25.2,5.5
Giovanni Di Lorenzo,Napoli,61.8,2.7,1.9,50.4,6.7
Danilo,Juventus,56,4.3,3.6,43.4,4.7
Frank Anguissa,Napoli,61.8,1.7,0.8,53.2,6.1
Simone Perilli,Verona,34,6,24,4,0
Carlos Augusto,Monza,39.4,1.1,1.2,32.3,4.8
Luis Alberto,Lazio,52.1,1.7,1.2,44,5.3
Stefan Posch,Bologna,49.2,3.9,4.5,33.9,6.9
Romelu Lukaku,Inter,15.1,0.3,0,10.7,4.1
Ismaël Bennacer,AC Milan,47.8,3.3,1.5,39.3,3.7
Martin Turk,Sampdoria,31.8,10.3,12.3,8.5,0.8
Nicolò Barella,Inter,42.9,1.8,1.1,34.7,5.3
Armando Izzo,Monza,52,3.3,2.8,42.3,3.6
Piotr Zielinski,Napoli,38.7,1,0.6,32.9,4.2
Fabiano Parisi,Empoli,38.7,1.8,2.2,28.7,6
Cristiano Biraghi,Fiorentina,42.3,2.4,4.2,30.8,4.9
Bremer,Juventus,55.4,3,2.2,47,3.2
Nicolás Domínguez,Bologna,44,1.9,1.2,34.9,6
Chris Smalling,Roma,41.8,2.3,1.9,34.3,3.4
Pierluigi Gollini,Fiorentina,36.3,7.3,10,19,0
Sandro Tonali,AC Milan,41.3,2.5,2.2,30.9,5.6
Ademola Lookman,Atalanta,19.3,0.2,0.3,15,3.9
Ivan Provedel,Lazio,30.3,7.9,6.2,15.8,0.4
Fikayo Tomori,AC Milan,57.5,5.1,3,46,3.4
Juan Cuadrado,Juventus,35.7,2.7,0.8,28.4,3.9
Olivier Giroud,AC Milan,16.8,0.2,0.2,10.5,6
Manuel Locatelli,Juventus,41.8,3.4,2.2,31.2,5.1
Boulaye Dia,Salernitana,17.5,0.5,0.3,13,3.7
Andrei Radu,Cremonese,33.1,5.6,12.1,15.3,0.1
Federico Dimarco,Inter,28.2,2.1,1.8,20.7,3.7
Stanislav Lobotka,Napoli,60.4,2.5,0.6,54.4,2.9
Pierluigi Gollini,Napoli,33.8,7.3,5.5,20.8,0.3
Théo Hernández,AC Milan,43.2,1.9,2.2,33.1,6
Ibañez,Roma,49.8,2.6,2.3,41.2,3.7
Amir Rrahmani,Napoli,74.5,5.3,3.1,62.8,3.3
Destiny Udogie,Udinese,29.2,0.6,0.2,23.6,4.8
Stefan de Vrij,Inter,44.5,1.7,1.7,38.1,2.9
Ciro Immobile,Lazio,19.7,0.4,0.2,14.6,4.5
Matteo Pessina,Monza,56.2,2.3,1.2,46.3,6.4
Jaka Bijol,Udinese,42.9,3.7,3.1,32.8,3.3
Alessio Romagnoli,Lazio,54.3,3.2,2.3,45.9,2.9
Ivan Ilic,Torino,55.8,1.3,1.1,48.4,5
Mattia Perin,Juventus,26.9,3.5,7.5,15.6,0.2
Guglielmo Vicario,Empoli,36.3,5.9,11,19,0.4
Luigi Sepe,Salernitana,32.9,6.5,11.8,14.6,0.1
Ángel Di María,Juventus,21.3,1.3,1,15.5,3.5
Junior Messias,AC Milan,20.5,0.8,0.6,15.5,3.6
Rafael Tolói,Atalanta,51,3.1,4.8,38.3,4.8
Morten Hjulmand,Lecce,37.2,2.7,2.4,26.8,5.3
Antonio Sanabria,Torino,20.8,0.5,0.2,15.4,4.8
Rade Krunic,AC Milan,41.2,1.1,0.5,34.3,5.3
Bryan Cristante,Roma,46.1,3.6,3.3,34.6,4.7
Ardian Ismajli,Empoli,41,2.4,2.4,32.4,3.8
Leo Østigård,Napoli,50.7,3.7,1.6,39.9,5.6
Giorgos Kyriakopoulos,Sassuolo,25.8,2.1,1.5,19,3.3
Guillermo Ochoa,Salernitana,35.6,8.2,15.7,11.7,0.1
Davide Zappacosta,Atalanta,32.2,0.5,0.6,27.5,3.5
Davide Frattesi,Sassuolo,27.7,1.7,0.9,20.6,4.5
Lukasz Skorupski,Bologna,27.2,5.5,6.7,14.9,0.2
Brahim Díaz,AC Milan,20.8,0.5,0.4,16.5,3.3
Christian Kouamé,Fiorentina,21,0.5,0.5,14.9,5.1
Francesco Acerbi,Inter,51.5,3.2,1.8,43,3.5
Nicolás González,Fiorentina,21.8,1,0.9,14,5.8
Stephan El Shaarawy,Roma,24.4,1,0.6,18.7,4.2
