player_name,team_name,UnsuccessfulTouches,Dispossessed
Salvatore Sirigu,Fiorentina,0,0
Victor Osimhen,Napoli,3,1.5
Khvicha Kvaratskhelia,Napoli,1.9,1.4
Francesco Bardi,Bologna,0,1
Sergej Milinkovic-Savic,Lazio,2.9,1.8
Paulo Dybala,Roma,2.4,1.2
Rafael Leão,AC Milan,2,1.1
Lautaro Martínez,Inter,2,1.3
Mattia Zaccagni,Lazio,1.4,1
Domenico Berardi,Sassuolo,2.3,0.9
Armand Laurienté,Sassuolo,2,1.9
Adrien Rabiot,Juventus,1.8,1.1
Teun Koopmeiners,Atalanta,1.5,1
Felipe Anderson,Lazio,2.2,1.2
Lorenzo Pellegrini,Roma,1.7,1.1
Mário Rui,Napoli,0.5,0.3
Lucas Martínez,Fiorentina,0.4,0.2
Hakan Çalhanoglu,Inter,1,0.4
Kim Min-Jae,Napoli,0.4,0.2
Gerard Deulofeu,Udinese,1.4,1.1
Giovanni Di Lorenzo,Napoli,0.6,0.5
Danilo,Juventus,0.6,0.2
Frank Anguissa,Napoli,2,1.4
Simone Perilli,Verona,0,0
Carlos Augusto,Monza,1.3,0.8
Luis Alberto,Lazio,0.9,0.9
Stefan Posch,Bologna,1.3,0.4
Romelu Lukaku,Inter,1.9,1.1
Ismaël Bennacer,AC Milan,1.5,0.8
Martin Turk,Sampdoria,0,0
Nicolò Barella,Inter,1.5,1.1
Armando Izzo,Monza,0.4,0.3
Piotr Zielinski,Napoli,0.7,0.4
Fabiano Parisi,Empoli,1.7,1.2
Cristiano Biraghi,Fiorentina,0.5,0.2
Bremer,Juventus,0.6,0.3
Nicolás Domínguez,Bologna,1.6,0.7
Chris Smalling,Roma,0.3,0.1
Pierluigi Gollini,Fiorentina,0,0
Sandro Tonali,AC Milan,1.2,0.3
Ademola Lookman,Atalanta,1.5,1.5
Ivan Provedel,Lazio,0,0
Fikayo Tomori,AC Milan,0.3,0.1
Juan Cuadrado,Juventus,1.1,0.5
Olivier Giroud,AC Milan,1.9,0.5
Manuel Locatelli,Juventus,0.9,0.6
Boulaye Dia,Salernitana,2.2,1.8
Andrei Radu,Cremonese,0,0
Federico Dimarco,Inter,0.5,0.3
Stanislav Lobotka,Napoli,0.7,0.4
Pierluigi Gollini,Napoli,0,0
Théo Hernández,AC Milan,1.4,0.6
Ibañez,Roma,0.8,0.5
Amir Rrahmani,Napoli,0.3,0.1
Destiny Udogie,Udinese,1.8,1.1
Stefan de Vrij,Inter,0.1,0.1
Ciro Immobile,Lazio,2,0.7
Matteo Pessina,Monza,1.8,1
Jaka Bijol,Udinese,0.3,0.1
Alessio Romagnoli,Lazio,0.3,0.1
Ivan Ilic,Torino,1.4,0.4
Mattia Perin,Juventus,0,0
Guglielmo Vicario,Empoli,0,0
Luigi Sepe,Salernitana,0.1,0
Ángel Di María,Juventus,1.2,1
Junior Messias,AC Milan,1.3,0.6
Rafael Tolói,Atalanta,0.7,0.2
Morten Hjulmand,Lecce,0.8,0.5
Antonio Sanabria,Torino,2.5,0.9
Rade Krunic,AC Milan,0.4,0.3
Bryan Cristante,Roma,0.7,0.3
Ardian Ismajli,Empoli,0.1,0.1
Leo Østigård,Napoli,0.6,0
Giorgos Kyriakopoulos,Sassuolo,1.2,1.5
Guillermo Ochoa,Salernitana,0.1,0
Davide Zappacosta,Atalanta,1.2,0.7
Davide Frattesi,Sassuolo,1.6,1.2
Lukasz Skorupski,Bologna,0,0
Brahim Díaz,AC Milan,2.2,1.5
Christian Kouamé,Fiorentina,2.9,1.5
Francesco Acerbi,Inter,0.4,0.2
Nicolás González,Fiorentina,1.9,0.6
Stephan El Shaarawy,Roma,1.2,0.4
Michele Di Gregorio,Monza,0,0
Jérémie Boga,Atalanta,1.3,0.5
Marcelo Brozovic,Inter,0.7,0.2
Nicolò Rovella,Monza,0.8,0.3
Emil Audero,Sampdoria,0,0
Filip Kostic,Juventus,1.4,0.5
Marten de Roon,Atalanta,0.5,0.4
Nikola Milenkovic,Fiorentina,0.3,0
Davide Calabria,AC Milan,0.6,0.3
Roberto Pereyra,Udinese,1.6,1.1
Wojciech Szczesny,Juventus,0,0
Hirving Lozano,Napoli,1.2,0.4
Riccardo Orsolini,Bologna,2.2,1.1
Alessandro Buongiorno,Torino,1,0.2
Juan Jesus,Napoli,0.3,0.1
Gabriel Strefezza,Lecce,2.3,2
Malick Thiaw,AC Milan,0.2,0.2
Edin Dzeko,Inter,1.5,0.5
Ivan Ilic,Verona,1.5,0.5
Dusan Vlahovic,Juventus,2.3,1.4
