player_name,team_name,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots
Salvatore Sirigu,Fiorentina,0,0,0,0
Victor Osimhen,Napoli,4.2,0.4,0.7,3.1
Khvicha Kvaratskhelia,Napoli,2.5,0.9,0,1.5
Francesco Bardi,Bologna,0,0,0,0
Sergej Milinkovic-Savic,Lazio,1.8,0.7,0.2,0.9
Paulo Dybala,Roma,2.5,1.1,0,1.3
Rafael Leão,AC Milan,2.6,0.9,0.1,1.6
Lautaro Martínez,Inter,3.3,0.7,0.4,2.2
Mattia Zaccagni,Lazio,1.6,0.4,0.1,1.1
Domenico Berardi,Sassuolo,3.2,1.5,0.2,1.5
Armand Laurienté,Sassuolo,2,0.9,0,1.1
Adrien Rabiot,Juventus,1.5,0.5,0.3,0.7
Teun Koopmeiners,Atalanta,1.8,1,0.1,0.7
Felipe Anderson,Lazio,1.1,0.3,0.1,0.7
Lorenzo Pellegrini,Roma,2,1.2,0.1,0.8
Mário Rui,Napoli,0.5,0.3,0,0.2
Lucas Martínez,Fiorentina,1,0.2,0.1,0.7
Hakan Çalhanoglu,Inter,1.7,1.4,0,0.3
Kim Min-Jae,Napoli,0.2,0,0.1,0.1
Gerard Deulofeu,Udinese,2.8,1,0.1,1.6
Giovanni Di Lorenzo,Napoli,0.8,0.1,0.2,0.5
Danilo,Juventus,0.9,0.2,0.1,0.6
Frank Anguissa,Napoli,1.4,0.5,0.1,0.8
Simone Perilli,Verona,0,0,0,0
Carlos Augusto,Monza,1.2,0.2,0.1,0.9
Luis Alberto,Lazio,1.3,0.9,0,0.5
Stefan Posch,Bologna,0.9,0.3,0.2,0.5
Romelu Lukaku,Inter,2,0.4,0.3,1.4
Ismaël Bennacer,AC Milan,0.6,0.5,0,0.1
Martin Turk,Sampdoria,0,0,0,0
Nicolò Barella,Inter,0.9,0.6,0,0.3
Armando Izzo,Monza,0.5,0,0.1,0.5
Piotr Zielinski,Napoli,1.4,0.9,0,0.5
Fabiano Parisi,Empoli,0.6,0.4,0,0.2
Cristiano Biraghi,Fiorentina,0.8,0.6,0,0.1
Bremer,Juventus,1.1,0,0.2,0.8
Nicolás Domínguez,Bologna,1.4,0.9,0,0.4
Chris Smalling,Roma,0.5,0,0.2,0.4
Pierluigi Gollini,Fiorentina,0,0,0,0
