player_name,team_name,TotalTackles,DribbledPast,TotalAttemptedTackles
Salvatore Sirigu,Fiorentina,0,0,0
Victor Osimhen,Napoli,0.3,0.2,0.5
Khvicha Kvaratskhelia,Napoli,1.3,0.8,2
Francesco Bardi,Bologna,0,0,0
Sergej Milinkovic-Savic,Lazio,1.6,1.2,2.8
Paulo Dybala,Roma,0.5,0.7,1.2
Rafael Leão,AC Milan,0.2,0.2,0.5
Lautaro Martínez,Inter,0.7,0.4,1.1
Mattia Zaccagni,Lazio,1.2,0.7,1.9
Domenico Berardi,Sassuolo,0.9,1.2,2.1
Armand Laurienté,Sassuolo,0.8,0.5,1.2
Adrien Rabiot,Juventus,2,0.8,2.9
Teun Koopmeiners,Atalanta,1.4,0.8,2.2
Felipe Anderson,Lazio,2.1,1.4,3.6
Lorenzo Pellegrini,Roma,1.6,0.8,2.4
Mário Rui,Napoli,1.5,1,2.5
Lucas Martínez,Fiorentina,3,0.7,3.7
Hakan Çalhanoglu,Inter,1.5,0.8,2.3
Kim Min-Jae,Napoli,1.6,0.1,1.7
Gerard Deulofeu,Udinese,0.5,0.6,1.1
Giovanni Di Lorenzo,Napoli,1.6,0.6,2.3
Danilo,Juventus,2.5,0.6,3.1
Frank Anguissa,Napoli,1.5,1.3,2.8
Simone Perilli,Verona,0,0,0
Carlos Augusto,Monza,2.1,0.6,2.7
Luis Alberto,Lazio,1.4,1.4,2.8
Stefan Posch,Bologna,2.7,1,3.7
Romelu Lukaku,Inter,0.1,0.1,0.2
Ismaël Bennacer,AC Milan,2.1,0.8,2.9
Martin Turk,Sampdoria,0,0,0
Nicolò Barella,Inter,1.4,0.7,2.1
Armando Izzo,Monza,2.4,0.5,3
Piotr Zielinski,Napoli,0.5,0.4,0.8
Fabiano Parisi,Empoli,2,1.3,3.2
Cristiano Biraghi,Fiorentina,2,1,3
Bremer,Juventus,1,0.2,1.2
Nicolás Domínguez,Bologna,2.5,1.2,3.7
Chris Smalling,Roma,0.8,0.3,1.1
Pierluigi Gollini,Fiorentina,0.3,0,0.3
Sandro Tonali,AC Milan,1.9,0.5,2.4
Ademola Lookman,Atalanta,0.4,0.4,0.8
Ivan Provedel,Lazio,0,0,0
Fikayo Tomori,AC Milan,2.1,0.4,2.5
Juan Cuadrado,Juventus,1.6,1.2,2.8
Olivier Giroud,AC Milan,0.2,0.2,0.5
Manuel Locatelli,Juventus,1.8,0.7,2.6
Boulaye Dia,Salernitana,0.4,0.2,0.5
Andrei Radu,Cremonese,0,0,0
Federico Dimarco,Inter,0.9,0.3,1.2
Stanislav Lobotka,Napoli,2.2,0.8,3
Pierluigi Gollini,Napoli,0,0,0
Théo Hernández,AC Milan,1.3,0.5,1.8
Ibañez,Roma,2,0.5,2.5
Amir Rrahmani,Napoli,1.1,0.3,1.4
Destiny Udogie,Udinese,2.2,0.8,2.9
Stefan de Vrij,Inter,1,0.2,1.3
Ciro Immobile,Lazio,0.4,0.1,0.5
Matteo Pessina,Monza,1.6,1,2.7
Jaka Bijol,Udinese,1.2,0.3,1.6
Alessio Romagnoli,Lazio,1,0.3,1.3
Ivan Ilic,Torino,1.3,0.7,2
Mattia Perin,Juventus,0,0,0
Guglielmo Vicario,Empoli,0,0,0.1
Luigi Sepe,Salernitana,0,0.1,0.1
Ángel Di María,Juventus,0.4,0.6,1
Junior Messias,AC Milan,1,0.6,1.5
Rafael Tolói,Atalanta,2.2,0.9,3.1
Morten Hjulmand,Lecce,2.6,0.9,3.4
Antonio Sanabria,Torino,0.3,0.2,0.5
Rade Krunic,AC Milan,1.7,1.5,3.2
Bryan Cristante,Roma,3.1,1,4.1
Ardian Ismajli,Empoli,1.6,0.2,1.8
