Name,Team,Position,Date of Birth,Age,Nationality,Market Value
Alex Meret,SSC Napoli,Goalkeeper,"Mar 22, 1997",26,Italy,€18.00m
Pierluigi Gollini,SSC Napoli,Goalkeeper,"Mar 18, 1995",28,Italy,€4.50m
Salvatore Sirigu,SSC Napoli,Goalkeeper,"Jan 12, 1987",36,Italy,€500k
Hubert Idasiak,SSC Napoli,Goalkeeper,"Feb 3, 2002",21,Poland,€150k
Valerio Boffelli,SSC Napoli,Goalkeeper,"Sep 4, 2004",18,Italy,€75k
Davide Marfella,SSC Napoli,Goalkeeper,"Sep 15, 1999",23,Italy,€50k
Min-jae Kim,SSC Napoli,Centre-Back,"Nov 15, 1996",26,"Korea, South",€60.00m
Amir Rrahmani,SSC Napoli,Centre-Back,"Feb 24, 1994",29,Kosovo,€25.00m
Leo Østigård,SSC Napoli,Centre-Back,"Nov 28, 1999",23,Norway,€7.00m
Juan Jesus,SSC Napoli,Centre-Back,"Jun 10, 1991",32,Brazil,€3.50m
Mathías Olivera,SSC Napoli,Left-Back,"Oct 31, 1997",25,Uruguay,€18.00m
Mário Rui,SSC Napoli,Left-Back,"May 27, 1991",32,Portugal,€8.00m
Giovanni Di Lorenzo,SSC Napoli,Right-Back,"Aug 4, 1993",29,Italy,€25.00m
Alessandro Zanoli,SSC Napoli,Right-Back,"Oct 3, 2000",22,Italy,€6.00m
Bartosz Bereszyński,SSC Napoli,Right-Back,"Jul 12, 1992",30,Poland,€1.60m
Stanislav Lobotka,SSC Napoli,Defensive Midfield,"Nov 25, 1994",28,Slovakia,€40.00m
Diego Demme,SSC Napoli,Defensive Midfield,"Nov 21, 1991",31,Germany,€3.00m
Frank Anguissa,SSC Napoli,Central Midfield,"Nov 16, 1995",27,Cameroon,€40.00m
Piotr Zieliński,SSC Napoli,Central Midfield,"May 20, 1994",29,Poland,€35.00m
Tanguy Ndombélé,SSC Napoli,Central Midfield,"Dec 28, 1996",26,France,€22.00m
Karim Zedadka,SSC Napoli,Left Midfield,"Jun 9, 2000",23,Algeria,€200k
Eljif Elmas,SSC Napoli,Attacking Midfield,"Sep 24, 1999",23,North Macedonia,€26.00m
Gianluca Gaetano,SSC Napoli,Attacking Midfield,"May 5, 2000",23,Italy,€4.50m
Khvicha Kvaratskhelia,SSC Napoli,Left Winger,"Feb 12, 2001",22,Georgia,€85.00m
Alessio Zerbin,SSC Napoli,Left Winger,"Mar 3, 1999",24,Italy,€4.00m
Hirving Lozano,SSC Napoli,Right Winger,"Jul 30, 1995",27,Mexico,€25.00m
