,Name,Team,Position,Date of Birth,Age,Nationality,Market Value
0,Alex Meret,SSC Napoli,Goalkeeper,"Mar 22, 1997",26,Italy,€18.00m
1,Pierluigi Gollini,SSC Napoli,Goalkeeper,"Mar 18, 1995",28,Italy,€4.50m
2,Salvatore Sirigu,SSC Napoli,Goalkeeper,"Jan 12, 1987",36,Italy,€500k
3,Hubert Idasiak,SSC Napoli,Goalkeeper,"Feb 3, 2002",21,Poland,€150k
4,Valerio Boffelli,SSC Napoli,Goalkeeper,"Sep 4, 2004",18,Italy,€75k
5,Davide Marfella,SSC Napoli,Goalkeeper,"Sep 15, 1999",23,Italy,€50k
6,Min-jae Kim,SSC Napoli,Centre-Back,"Nov 15, 1996",26,"Korea, South",€60.00m
7,Amir Rrahmani,SSC Napoli,Centre-Back,"Feb 24, 1994",29,Kosovo,€25.00m
8,Leo Østigård,SSC Napoli,Centre-Back,"Nov 28, 1999",23,Norway,€7.00m
9,Juan Jesus,SSC Napoli,Centre-Back,"Jun 10, 1991",32,Brazil,€3.50m
10,Mathías Olivera,SSC Napoli,Left-Back,"Oct 31, 1997",25,Uruguay,€18.00m
11,Mário Rui,SSC Napoli,Left-Back,"May 27, 1991",32,Portugal,€8.00m
12,Giovanni Di Lorenzo,SSC Napoli,Right-Back,"Aug 4, 1993",29,Italy,€25.00m
13,Alessandro Zanoli,SSC Napoli,Right-Back,"Oct 3, 2000",22,Italy,€6.00m
14,Bartosz Bereszyński,SSC Napoli,Right-Back,"Jul 12, 1992",30,Poland,€1.60m
15,Stanislav Lobotka,SSC Napoli,Defensive Midfield,"Nov 25, 1994",28,Slovakia,€40.00m
16,Diego Demme,SSC Napoli,Defensive Midfield,"Nov 21, 1991",31,Germany,€3.00m
17,Frank Anguissa,SSC Napoli,Central Midfield,"Nov 16, 1995",27,Cameroon,€40.00m
18,Piotr Zieliński,SSC Napoli,Central Midfield,"May 20, 1994",29,Poland,€35.00m
19,Tanguy Ndombélé,SSC Napoli,Central Midfield,"Dec 28, 1996",26,France,€22.00m
20,Karim Zedadka,SSC Napoli,Left Midfield,"Jun 9, 2000",23,Algeria,€200k
21,Eljif Elmas,SSC Napoli,Attacking Midfield,"Sep 24, 1999",23,North Macedonia,€26.00m
22,Gianluca Gaetano,SSC Napoli,Attacking Midfield,"May 5, 2000",23,Italy,€4.50m
23,Khvicha Kvaratskhelia,SSC Napoli,Left Winger,"Feb 12, 2001",22,Georgia,€85.00m
24,Alessio Zerbin,SSC Napoli,Left Winger,"Mar 3, 1999",24,Italy,€4.00m
25,Hirving Lozano,SSC Napoli,Right Winger,"Jul 30, 1995",27,Mexico,€25.00m
26,Matteo Politano,SSC Napoli,Right Winger,"Aug 3, 1993",29,Italy,€15.00m
27,Adam Ounas,SSC Napoli,Right Winger,"Nov 11, 1996",26,Algeria,€7.00m
28,Giacomo Raspadori,SSC Napoli,Second Striker,"Feb 18, 2000",23,Italy,€35.00m
29,Victor Osimhen,SSC Napoli,Centre-Forward,"Dec 29, 1998",24,Nigeria,€120.00m
30,Giovanni Simeone,SSC Napoli,Centre-Forward,"Jul 5, 1995",27,Argentina,€15.00m
31,André Onana,Inter Milan,Goalkeeper,"Apr 2, 1996",27,Cameroon,€35.00m
32,Samir Handanovic,Inter Milan,Goalkeeper,"Jul 14, 1984",38,Slovenia,€500k
33,Gabriel Brazão,Inter Milan,Goalkeeper,"Oct 5, 2000",22,Brazil,€400k
34,Alex Cordaz,Inter Milan,Goalkeeper,"Jan 1, 1983",40,Italy,€200k
35,Nikolaos Botis,Inter Milan,Goalkeeper,"Mar 31, 2004",19,Greece,€100k
36,Alessandro Bastoni,Inter Milan,Centre-Back,"Apr 13, 1999",24,Italy,€60.00m
37,Milan Skriniar,Inter Milan,Centre-Back,"Feb 11, 1995",28,Slovakia,€50.00m
38,Stefan de Vrij,Inter Milan,Centre-Back,"Feb 5, 1992",31,Netherlands,€8.00m
39,Francesco Acerbi,Inter Milan,Centre-Back,"Feb 10, 1988",35,Italy,€4.00m
40,Danilo D'Ambrosio,Inter Milan,Centre-Back,"Sep 9, 1988",34,Italy,€1.50m
41,Alessandro Fontanarosa,Inter Milan,Centre-Back,"Feb 7, 2003",20,Italy,€400k
42,Federico Dimarco,Inter Milan,Left-Back,"Nov 10, 1997",25,Italy,€35.00m
43,Dalbert,Inter Milan,Left-Back,"Sep 8, 1993",29,Brazil,€1.00m
44,Matteo Darmian,Inter Milan,Right-Back,"Dec 2, 1989",33,Italy,€4.00m
45,Mattia Zanotti,Inter Milan,Right-Back,"Jan 11, 2003",20,Italy,€800k
46,Hakan Çalhanoğlu,Inter Milan,Defensive Midfield,"Feb 8, 1994",29,Türkiye,€40.00m
47,Marcelo Brozovic,Inter Milan,Defensive Midfield,"Nov 16, 1992",30,Croatia,€25.00m
48,Kristjan Asllani,Inter Milan,Defensive Midfield,"Mar 9, 2002",21,Albania,€12.00m
49,Lucien Agoumé,Inter Milan,Defensive Midfield,"Feb 9, 2002",21,France,€7.00m
50,Aleksandar Stankovic,Inter Milan,Defensive Midfield,"Aug 3, 2005",17,Serbia,-
51,Nicolò Barella,Inter Milan,Central Midfield,"Feb 7, 1997",26,Italy,€75.00m
52,Henrikh Mkhitaryan,Inter Milan,Central Midfield,"Jan 21, 1989",34,Armenia,€6.00m
53,Roberto Gagliardini,Inter Milan,Central Midfield,"Apr 7, 1994",29,Italy,€4.00m
54,Ebenezer Akinsanmiro,Inter Milan,Central Midfield,"Nov 25, 2004",18,Nigeria,€800k
55,Denzel Dumfries,Inter Milan,Right Midfield,"Apr 18, 1996",27,Netherlands,€28.00m
56,Raoul Bellanova,Inter Milan,Right Midfield,"May 17, 2000",23,Italy,€5.00m
57,Robin Gosens,Inter Milan,Left Midfield,"Jul 5, 1994",28,Germany,€15.00m
58,Valentín Carboni,Inter Milan,Attacking Midfield,"Mar 5, 2005",18,Argentina,€5.00m
59,Issiaka Kamate,Inter Milan,Right Winger,"Aug 2, 2004",18,France,€200k
60,Joaquín Correa,Inter Milan,Second Striker,"Aug 13, 1994",28,Argentina,€12.00m
61,Lautaro Martínez,Inter Milan,Centre-Forward,"Aug 22, 1997",25,Argentina,€85.00m
62,Romelu Lukaku,Inter Milan,Centre-Forward,"May 13, 1993",30,Belgium,€40.00m
63,Edin Dzeko,Inter Milan,Centre-Forward,"Mar 17, 1986",37,Bosnia-Herzegovina,€4.00m
64,Eddie Salcedo,Inter Milan,Centre-Forward,"Oct 1, 2001",21,Italy,€2.50m
65,Dennis Curatolo,Inter Milan,Centre-Forward,"Apr 3, 2004",19,Italy,€150k
66,Mike Maignan,AC Milan,Goalkeeper,"Jul 3, 1995",27,France,€45.00m
67,Ciprian Tătărușanu,AC Milan,Goalkeeper,"Feb 9, 1986",37,Romania,€400k
68,Devis Vásquez,AC Milan,Goalkeeper,"May 12, 1998",25,Colombia,€350k
69,Andreas Jungdal,AC Milan,Goalkeeper,"Feb 22, 2002",21,Denmark,€300k
70,Lapo Nava,AC Milan,Goalkeeper,"Jan 22, 2004",19,Italy,€150k
71,Antonio Mirante,AC Milan,Goalkeeper,"Jul 8, 1983",39,Italy,€100k
72,Fikayo Tomori,AC Milan,Centre-Back,"Dec 19, 1997",25,England,€40.00m
73,Pierre Kalulu,AC Milan,Centre-Back,"Jun 5, 2000",23,France,€30.00m
74,Malick Thiaw,AC Milan,Centre-Back,"Aug 8, 2001",21,Germany,€20.00m
75,Matteo Gabbia,AC Milan,Centre-Back,"Oct 21, 1999",23,Italy,€5.00m
76,Simon Kjaer,AC Milan,Centre-Back,"Mar 26, 1989",34,Denmark,€3.50m
77,Andrei Coubiș,AC Milan,Centre-Back,"Sep 29, 2003",19,Romania,€100k
78,Theo Hernández,AC Milan,Left-Back,"Oct 6, 1997",25,France,€60.00m
79,Sergiño Dest,AC Milan,Left-Back,"Nov 3, 2000",22,United States,€10.00m
80,Fodé Ballo-Touré,AC Milan,Left-Back,"Jan 3, 1997",26,Senegal,€3.50m
81,Andrea Bozzolan,AC Milan,Left-Back,"Feb 23, 2004",19,Italy,€125k
82,Davide Calabria,AC Milan,Right-Back,"Dec 6, 1996",26,Italy,€20.00m
83,Alessandro Florenzi,AC Milan,Right-Back,"Mar 11, 1991",32,Italy,€2.00m
84,Sandro Tonali,AC Milan,Defensive Midfield,"May 8, 2000",23,Italy,€50.00m
85,Ismaël Bennacer,AC Milan,Defensive Midfield,"Dec 1, 1997",25,Algeria,€40.00m
86,Rade Krunic,AC Milan,Defensive Midfield,"Oct 7, 1993",29,Bosnia-Herzegovina,€10.00m
87,Yacine Adli,AC Milan,Defensive Midfield,"Jul 29, 2000",22,France,€8.00m
88,Tiemoué Bakayoko,AC Milan,Defensive Midfield,"Aug 17, 1994",28,France,€2.50m
89,Tommaso Pobega,AC Milan,Central Midfield,"Jul 15, 1999",23,Italy,€14.00m
90,Aster Vranckx,AC Milan,Central Midfield,"Oct 4, 2002",20,Belgium,€8.50m
91,Antonio Gala,AC Milan,Central Midfield,"Jun 7, 2004",19,Italy,€75k
92,Charles De Ketelaere,AC Milan,Attacking Midfield,"Mar 10, 2001",22,Belgium,€22.00m
93,Brahim Díaz,AC Milan,Attacking Midfield,"Aug 3, 1999",23,Morocco,€20.00m
94,Rafael Leão,AC Milan,Left Winger,"Jun 10, 1999",24,Portugal,€90.00m
95,Ante Rebic,AC Milan,Left Winger,"Sep 21, 1993",29,Croatia,€6.00m
96,Alexis Saelemaekers,AC Milan,Right Winger,"Jun 27, 1999",24,Belgium,€15.00m
97,Junior Messias,AC Milan,Right Winger,"May 13, 1991",32,Brazil,€4.50m
98,Divock Origi,AC Milan,Centre-Forward,"Apr 18, 1995",28,Belgium,€6.00m
99,Olivier Giroud,AC Milan,Centre-Forward,"Sep 30, 1986",36,France,€4.00m
100,Marko Lazetic,AC Milan,Centre-Forward,"Jan 22, 2004",19,Serbia,€2.00m
101,Zlatan Ibrahimović,AC Milan,Centre-Forward,"Oct 3, 1981",41,Sweden,€2.00m
102,Wojciech Szczęsny,Juventus FC,Goalkeeper,"Apr 18, 1990",33,Poland,€10.00m
103,Mattia Perin,Juventus FC,Goalkeeper,"Nov 10, 1992",30,Italy,€4.00m
104,Gian Marco Crespi,Juventus FC,Goalkeeper,"Jun 28, 2001",22,Italy,€200k
105,Giovanni Garofani,Juventus FC,Goalkeeper,"Oct 20, 2002",20,Italy,€200k
106,Carlo Pinsoglio,Juventus FC,Goalkeeper,"Mar 16, 1990",33,Italy,€200k
107,Simone Scaglia,Juventus FC,Goalkeeper,"Jul 12, 2004",18,Italy,€25k
108,Bremer,Juventus FC,Centre-Back,"Mar 18, 1997",26,Brazil,€40.00m
109,Danilo,Juventus FC,Centre-Back,"Jul 15, 1991",31,Brazil,€15.00m
110,Federico Gatti,Juventus FC,Centre-Back,"Jun 24, 1998",25,Italy,€12.00m
111,Daniele Rugani,Juventus FC,Centre-Back,"Jul 29, 1994",28,Italy,€2.00m
112,Leonardo Bonucci,Juventus FC,Centre-Back,"May 1, 1987",36,Italy,€1.50m
113,Alessandro Pio Riccio,Juventus FC,Centre-Back,"Feb 6, 2002",21,Italy,€700k
114,Alex Sandro,Juventus FC,Left-Back,"Jan 26, 1991",32,Brazil,€3.00m
115,Mattia De Sciglio,Juventus FC,Right-Back,"Oct 20, 1992",30,Italy,€3.00m
116,Tommaso Barbieri,Juventus FC,Right-Back,"Aug 26, 2002",20,Italy,€1.20m
117,Manuel Locatelli,Juventus FC,Defensive Midfield,"Jan 8, 1998",25,Italy,€30.00m
118,Denis Zakaria,Juventus FC,Defensive Midfield,"Nov 20, 1996",26,Switzerland,€18.00m
119,Nicolò Rovella,Juventus FC,Defensive Midfield,"Dec 4, 2001",21,Italy,€18.00m
120,Leandro Paredes,Juventus FC,Defensive Midfield,"Jun 29, 1994",29,Argentina,€12.00m
121,Enzo Barrenechea,Juventus FC,Defensive Midfield,"May 22, 2001",22,Argentina,€900k
122,Adrien Rabiot,Juventus FC,Central Midfield,"Apr 3, 1995",28,France,€40.00m
123,Nicolò Fagioli,Juventus FC,Central Midfield,"Feb 12, 2001",22,Italy,€35.00m
124,Weston McKennie,Juventus FC,Central Midfield,"Aug 28, 1998",24,United States,€18.00m
125,Paul Pogba,Juventus FC,Central Midfield,"Mar 15, 1993",30,France,€15.00m
126,Fabio Miretti,Juventus FC,Central Midfield,"Aug 3, 2003",19,Italy,€15.00m
127,Alessandro Sersanti,Juventus FC,Central Midfield,"Feb 16, 2002",21,Italy,€400k
128,Juan Cuadrado,Juventus FC,Right Midfield,"May 26, 1988",35,Colombia,€4.00m
129,Filip Kostić,Juventus FC,Left Midfield,"Nov 1, 1992",30,Serbia,€22.00m
130,Mohamed Ihattaren,Juventus FC,Attacking Midfield,"Feb 12, 2002",21,Netherlands,-
131,Federico Chiesa,Juventus FC,Left Winger,"Oct 25, 1997",25,Italy,€40.00m
132,Samuel Iling-Junior,Juventus FC,Left Winger,"Oct 4, 2003",19,England,€9.00m
133,Ángel Di María,Juventus FC,Right Winger,"Feb 14, 1988",35,Argentina,€8.00m
134,Matías Soulé,Juventus FC,Right Winger,"Apr 15, 2003",20,Argentina,€4.00m
135,Nikola Sekulov,Juventus FC,Right Winger,"Feb 18, 2002",21,Italy,€600k
136,Mattia Compagnon,Juventus FC,Right Winger,"Nov 6, 2001",21,Italy,€400k
137,Dušan Vlahović,Juventus FC,Centre-Forward,"Jan 28, 2000",23,Serbia,€70.00m
138,Moise Kean,Juventus FC,Centre-Forward,"Feb 28, 2000",23,Italy,€18.00m
139,Arkadiusz Milik,Juventus FC,Centre-Forward,"Feb 28, 1994",29,Poland,€8.00m
140,Kaio Jorge,Juventus FC,Centre-Forward,"Jan 24, 2002",21,Brazil,€3.00m
141,Cosimo da Graça,Juventus FC,Centre-Forward,"May 1, 2002",21,Italy,€800k
142,Rui Patrício,AS Roma,Goalkeeper,"Feb 15, 1988",35,Portugal,€5.00m
143,Mile Svilar,AS Roma,Goalkeeper,"Aug 27, 1999",23,Serbia,€1.50m
144,Pietro Boer,AS Roma,Goalkeeper,"May 12, 2002",21,Italy,€150k
145,Gabriele Baldi,AS Roma,Goalkeeper,"Aug 24, 2004",18,Italy,€100k
146,Jacopo Del Bello,AS Roma,Goalkeeper,"Sep 25, 2004",18,Italy,€25k
147,Roger Ibañez,AS Roma,Centre-Back,"Nov 23, 1998",24,Brazil,€30.00m
148,Gianluca Mancini,AS Roma,Centre-Back,"Apr 17, 1996",27,Italy,€18.00m
149,Diego Llorente,AS Roma,Centre-Back,"Aug 16, 1993",29,Spain,€12.00m
150,Chris Smalling,AS Roma,Centre-Back,"Nov 22, 1989",33,England,€8.00m
151,Marash Kumbulla,AS Roma,Centre-Back,"Feb 8, 2000",23,Albania,€8.00m
152,Dimitrios Keramitsis,AS Roma,Centre-Back,"Jul 1, 2004",18,Greece,€250k
153,William Bianda,AS Roma,Centre-Back,"Apr 30, 2000",23,France,€200k
154,Brian Silva,AS Roma,Centre-Back,"Jun 2, 2003",20,France,€75k
155,Leonardo Spinazzola,AS Roma,Left-Back,"Mar 25, 1993",30,Italy,€10.00m
156,Matías Viña,AS Roma,Left-Back,"Nov 9, 1997",25,Uruguay,€8.00m
157,Jan Oliveras,AS Roma,Left-Back,"Jul 7, 2004",18,Spain,€175k
158,Matteo Falasca,AS Roma,Left-Back,"Apr 27, 2004",19,Italy,€100k
159,Zeki Çelik,AS Roma,Right-Back,"Feb 17, 1997",26,Türkiye,€10.00m
160,Rick Karsdorp,AS Roma,Right-Back,"Feb 11, 1995",28,Netherlands,€7.00m
161,Filippo Missori,AS Roma,Right-Back,"Mar 24, 2004",19,Italy,€800k
162,Corentin Louakima,AS Roma,Right-Back,"Feb 28, 2003",20,France,€100k
163,Bryan Cristante,AS Roma,Defensive Midfield,"Mar 3, 1995",28,Italy,€20.00m
164,Nemanja Matic,AS Roma,Defensive Midfield,"Aug 1, 1988",34,Serbia,€4.00m
165,Ebrima Darboe,AS Roma,Defensive Midfield,"Jun 6, 2001",22,The Gambia,€1.80m
166,Benjamin Tahirovic,AS Roma,Defensive Midfield,"Mar 3, 2003",20,Bosnia-Herzegovina,€1.50m
167,Giacomo Faticanti,AS Roma,Defensive Midfield,"Jul 31, 2004",18,Italy,€800k
168,Filippo Tripi,AS Roma,Defensive Midfield,"Jan 6, 2002",21,Italy,€300k
169,Mady Camara,AS Roma,Central Midfield,"Feb 28, 1997",26,Guinea,€10.00m
170,Edoardo Bove,AS Roma,Central Midfield,"May 16, 2002",21,Italy,€10.00m
171,Georginio Wijnaldum,AS Roma,Central Midfield,"Nov 11, 1990",32,Netherlands,€8.00m
172,Niccolò Pisilli,AS Roma,Central Midfield,"Sep 23, 2004",18,Italy,€1.00m
173,Riccardo Pagano,AS Roma,Central Midfield,"Nov 28, 2004",18,Italy,€900k
174,Nicola Zalewski,AS Roma,Left Midfield,"Jan 23, 2002",21,Poland,€20.00m
175,Lorenzo Pellegrini,AS Roma,Attacking Midfield,"Jun 19, 1996",27,Italy,€35.00m
176,Nicolò Zaniolo,AS Roma,Attacking Midfield,"Jul 2, 1999",23,Italy,€27.00m
177,Cristian Volpato,AS Roma,Attacking Midfield,"Nov 15, 2003",19,Italy,€3.00m
178,Ante Coric,AS Roma,Attacking Midfield,"Apr 14, 1997",26,Croatia,€300k
179,Claudio Cassano,AS Roma,Attacking Midfield,"Jul 22, 2003",19,Italy,€200k
180,Stephan El Shaarawy,AS Roma,Left Winger,"Oct 27, 1992",30,Italy,€5.00m
181,Luigi Cherubini,AS Roma,Left Winger,"Jan 15, 2004",19,Italy,€200k
182,Ola Solbakken,AS Roma,Right Winger,"Sep 7, 1998",24,Norway,€3.50m
183,Paulo Dybala,AS Roma,Second Striker,"Nov 15, 1993",29,Argentina,€30.00m
184,Tammy Abraham,AS Roma,Centre-Forward,"Oct 2, 1997",25,England,€40.00m
185,Andrea Belotti,AS Roma,Centre-Forward,"Dec 20, 1993",29,Italy,€8.00m
186,Eldor Shomurodov,AS Roma,Centre-Forward,"Jun 29, 1995",28,Uzbekistan,€6.00m
187,Felix Afena-Gyan,AS Roma,Centre-Forward,"Jan 19, 2003",20,Ghana,€5.00m
188,Jordan Majchrzak,AS Roma,Centre-Forward,"Oct 8, 2004",18,Poland,€400k
189,Juan Musso,Atalanta BC,Goalkeeper,"May 6, 1994",29,Argentina,€8.00m
190,Marco Sportiello,Atalanta BC,Goalkeeper,"May 10, 1992",31,Italy,€1.50m
191,Tommaso Bertini,Atalanta BC,Goalkeeper,"Jan 13, 2004",19,Italy,€100k
192,Francesco Rossi,Atalanta BC,Goalkeeper,"Apr 27, 1991",32,Italy,€100k
193,Giorgio Scalvini,Atalanta BC,Centre-Back,"Dec 11, 2003",19,Italy,€40.00m
194,Merih Demiral,Atalanta BC,Centre-Back,"Mar 5, 1998",25,Türkiye,€20.00m
195,Caleb Okoli,Atalanta BC,Centre-Back,"Jul 13, 2001",21,Italy,€10.00m
196,Berat Djimsiti,Atalanta BC,Centre-Back,"Feb 19, 1993",30,Albania,€10.00m
197,Rafael Tolói,Atalanta BC,Centre-Back,"Oct 10, 1990",32,Italy,€6.00m
198,José Luis Palomino,Atalanta BC,Centre-Back,"Jan 5, 1990",33,Argentina,€2.50m
199,Tommaso Del Lungo,Atalanta BC,Centre-Back,"Nov 21, 2003",19,Italy,€100k
