,Club,Squad,Avg age,Foreigners,Avg market values,Total Market Values
0,SSC Napoli,31,26.2,20,€21.10m,€654.08m
1,Inter Milan,35,26.4,22,€16.22m,€567.55m
2,AC Milan,36,25.8,27,€15.14m,€545.10m
3,Juventus FC,40,25.4,19,€12.08m,€483.13m
4,AS Roma,47,23.7,27,€7.69m,€361.38m
5,Atalanta BC,38,24.4,20,€8.90m,€338.38m
6,SS Lazio,33,25.9,20,€8.07m,€266.43m
7,ACF Fiorentina,38,25.2,18,€6.81m,€258.80m
8,US Sassuolo,35,25.0,19,€6.63m,€232.20m
9,Torino FC,38,23.8,29,€5.19m,€197.19m
10,Udinese Calcio,38,24.9,28,€4.97m,€188.86m
11,Bologna FC 1909,38,24.9,22,€4.04m,€153.63m
12,AC Monza,41,26.1,12,€3.31m,€135.70m
13,FC Empoli,44,24.3,19,€2.85m,€125.53m
14,Hellas Verona,46,24.7,26,€2.69m,€123.89m
15,US Salernitana 1919,45,26.4,27,€2.63m,€118.35m
16,Spezia Calcio,48,24.4,33,€2.41m,€115.81m
17,US Lecce,39,24.6,23,€2.70m,€105.20m
18,US Cremonese,42,25.6,19,€1.99m,€83.78m
19,UC Sampdoria,48,25.9,26,€1.73m,€82.96m
