,team_name,P,W,D,L,GF,GA,GD,Pts,Goals,Shots pg,Yellow,Red,Poss%,Pass%,A_Won,Rating
0,Napoli,38,28,6,4,77,28,+49,90,77,16.2,47,1,62.1,87.8,12.8,6.81
1,Lazio,38,22,8,8,60,30,+30,74,60,11.5,87,2,52.2,85.4,10.7,6.74
2,Inter,38,23,3,12,71,42,+29,72,71,16.6,62,3,55.7,85.6,13.3,6.71
3,AC Milan,38,20,10,8,64,43,+21,70,64,14.5,86,2,55.6,82.6,14.8,6.70
4,Atalanta,38,19,7,12,66,48,+18,64,66,13.5,81,3,49.9,80.6,15.2,6.67
5,Roma,38,18,9,11,50,38,+12,63,50,13.1,78,4,48.1,81.3,14.4,6.64
6,Juventus,38,22,6,10,56,33,+23,62,56,14.1,72,6,49.4,83.6,12.8,6.71
7,Fiorentina,38,15,11,12,53,43,+10,56,53,15.9,89,3,56.4,82.3,15.5,6.60
8,Bologna,38,14,12,12,53,49,+4,54,53,12.8,81,3,55.0,83.0,9.8,6.60
9,Torino,38,14,11,13,42,41,+1,53,42,11.7,81,0,53.3,81.1,15.6,6.57
10,Monza,38,14,10,14,48,52,-4,52,48,10.8,88,4,55.6,84.6,11.8,6.55
11,Udinese,38,11,13,14,47,48,-1,46,47,13.3,86,3,47.5,81.8,12.7,6.58
12,Sassuolo,38,12,9,17,47,61,-14,45,47,12.8,84,6,49.1,82.5,9.9,6.48
13,Empoli,38,10,13,15,37,49,-12,43,37,11.8,82,7,47.1,80.3,11.5,6.53
14,Salernitana,38,9,15,14,48,62,-14,42,48,10.1,84,4,44.6,78.7,14,6.51
15,Lecce,38,8,12,18,33,46,-13,36,33,11,85,2,40.8,72.4,14.9,6.49
16,Spezia,38,6,13,19,31,62,-31,31,31,11.1,95,6,46.9,77.1,14.1,6.43
17,Verona,38,7,10,21,31,59,-28,31,31,10.9,104,3,40.5,70.7,21.4,6.47
18,Cremonese,38,5,12,21,36,69,-33,27,36,12.2,81,3,41.4,75.0,14.8,6.47
19,Sampdoria,38,3,10,25,24,71,-47,19,24,9.9,104,3,45.6,78.2,16.4,6.41
