player_name,team_name,Total_Aerial,Won,Lost
Antoine Griezmann,Atletico Madrid,1.6,0.7,0.9
Karim Benzema,Real Madrid,1.1,0.6,0.5
Robert Lewandowski,Barcelona,2.9,1.5,1.4
Leo Román,Mallorca,0,0,0
Vinícius Júnior,Real Madrid,0.2,0.1,0.2
Rodrygo,Real Madrid,1.1,0.4,0.7
Memphis Depay,Barcelona,1.5,0.5,1
Pedri,Barcelona,0.3,0.1,0.2
Joselu,Espanyol,8.3,5.1,3.1
Frenkie de Jong,Barcelona,1.4,1,0.5
Gerónimo Rulli,Villarreal,0.2,0.2,0
Ousmane Dembélé,Barcelona,0.6,0.2,0.5
Mikel Merino,Real Sociedad,5.2,3.4,1.8
Gonzalo Escalante,Cadiz,3.9,1.9,2
Lee Kang-In,Mallorca,2.3,0.6,1.6
Federico Valverde,Real Madrid,1.2,0.9,0.3
Sergi Darder,Espanyol,0.7,0.3,0.4
Enes Ünal,Getafe,9.3,4.6,4.7
Juan Foyth,Villarreal,2.4,1.5,0.9
Isi Palazón,Rayo Vallecano,3.1,0.8,2.3
Raphinha,Barcelona,0.6,0.4,0.3
Toni Kroos,Real Madrid,0.4,0.2,0.1
Aleix García,Girona,0.6,0.4,0.2
Aurélien Tchouaméni,Real Madrid,2.2,1.5,0.7
David Gil,Cadiz,0,0,0
Conan Ledesma,Cadiz,0.4,0.3,0.1
Éder Militão,Real Madrid,3,1.9,1.1
Vedat Muriqi,Mallorca,10.2,5.7,4.5
Sergio Busquets,Barcelona,3.8,1.8,2
Takefusa Kubo,Real Sociedad,1.2,0.5,0.7
Guido Rodríguez,Real Betis,2.7,1.3,1.4
José Gayà,Valencia,1.5,0.8,0.7
Javi Galán,Celta Vigo,1.5,0.9,0.6
Jules Koundé,Barcelona,2.3,1.5,0.8
José Giménez,Atletico Madrid,2.7,1.8,0.9
Dani Parejo,Villarreal,1,0.5,0.6
Marco Asensio,Real Madrid,0.2,0.1,0.1
Thibaut Courtois,Real Madrid,0.3,0.3,0
Gerard Moreno,Villarreal,1.8,0.9,0.9
