player_name,team_name,ShotsBlocked,CrossesBlocked,PassesBlocked
Antoine Griezmann,Atletico Madrid,0.1,0,0.8
Karim Benzema,Real Madrid,0,0,0.5
Robert Lewandowski,Barcelona,0,0,0.6
Leo Román,Mallorca,0,0,0
Vinícius Júnior,Real Madrid,0,0,0.7
Rodrygo,Real Madrid,0,0,0.7
Memphis Depay,Barcelona,0,0,0
Pedri,Barcelona,0,0,1
Joselu,Espanyol,0.1,0,0.6
Frenkie de Jong,Barcelona,0,0,0.3
Gerónimo Rulli,Villarreal,0,0,0.1
Ousmane Dembélé,Barcelona,0,0,0.4
Mikel Merino,Real Sociedad,0.2,0,0.9
Gonzalo Escalante,Cadiz,0.3,0.1,1
Lee Kang-In,Mallorca,0.1,0.1,0.6
Federico Valverde,Real Madrid,0.1,0,0.8
Sergi Darder,Espanyol,0.1,0.1,0.8
Enes Ünal,Getafe,0.1,0,0.5
Juan Foyth,Villarreal,0.5,0.5,0.9
Isi Palazón,Rayo Vallecano,0.1,0.1,1.1
Raphinha,Barcelona,0,0,0.9
Toni Kroos,Real Madrid,0.1,0.1,0.6
Aleix García,Girona,0.3,0.2,0.5
Aurélien Tchouaméni,Real Madrid,0.2,0,0.4
David Gil,Cadiz,0,0,0
Conan Ledesma,Cadiz,0,0,0
Éder Militão,Real Madrid,1.2,0.2,0.8
Vedat Muriqi,Mallorca,0.2,0,0.3
Sergio Busquets,Barcelona,0.2,0.2,0.9
Takefusa Kubo,Real Sociedad,0,0,0.8
Guido Rodríguez,Real Betis,0.4,0.2,1.3
José Gayà,Valencia,0.3,0.3,0.6
Javi Galán,Celta Vigo,0.1,0.2,1.3
Jules Koundé,Barcelona,0.3,0.2,0.5
José Giménez,Atletico Madrid,0.6,0.1,0.7
Dani Parejo,Villarreal,0.3,0,0.8
Marco Asensio,Real Madrid,0.1,0,0.2
Thibaut Courtois,Real Madrid,0,0,0
Gerard Moreno,Villarreal,0.1,0,0.2
Brais Méndez,Real Sociedad,0.1,0,0.7
Loïc Badé,Sevilla,0.7,0.2,0.4
Iago Aspas,Celta Vigo,0,0.1,0.2
Viktor Tsygankov,Girona,0.1,0.2,0.6
Ronald Araujo,Barcelona,0.3,0.1,0.4
Yeremy Pino,Villarreal,0.1,0.3,1
Lucas Robertone,Almeria,0.2,0.1,1
Reinildo,Atletico Madrid,0.5,0.3,0.7
Félix Garreta,Real Betis,1,0,0
Alejandro Balde,Barcelona,0.1,0.2,0.7
Nico Williams,Athletic Club,0.1,0.2,1.1
Samuel Chukwueze,Villarreal,0,0.1,0.4
Claudio Bravo,Real Betis,0,0,0
Antonio Raíllo,Mallorca,0.9,0,0.3
Nicolas Jackson,Villarreal,0.1,0,0.6
Ayoze Pérez,Real Betis,0,0.1,1.2
Marc-André ter Stegen,Barcelona,0,0,0
Yannick Carrasco,Atletico Madrid,0,0.1,0.6
Umar Sadiq,Almeria,0,0,0.7
Alexander Sørloth,Real Sociedad,0,0,0.4
David Silva,Real Sociedad,0.1,0,0.5
Álvaro Morata,Atletico Madrid,0.1,0,0.2
Gerard Piqué,Barcelona,0.1,0,0.1
Aitor Fernández,Osasuna,0,0,0
André Almeida,Valencia,0,0,0.8
David Soria,Getafe,0,0,0
Gavi,Barcelona,0.1,0,0.8
Álex Moreno,Real Betis,0.3,0.4,0.9
Iñaki Williams,Athletic Club,0.1,0,0.4
Jordi Masip,Real Valladolid,0,0,0
Giovani Lo Celso,Villarreal,0.1,0.1,0.5
Jordi Alba,Barcelona,0.2,0.4,0.3
Andreas Christensen,Barcelona,0.5,0,0.1
Álvaro García,Rayo Vallecano,0.1,0.2,1.1
Gabri Veiga,Celta Vigo,0.1,0,0.8
Iñigo Martínez,Athletic Club,0.7,0.1,0.4
Samuel Lino,Valencia,0,0.2,0.9
Juan Miranda,Real Betis,0.3,0.6,0.6
Marcos Llorente,Atletico Madrid,0.1,0.1,1.1
Rodrigo De Paul,Atletico Madrid,0.1,0.1,0.6
Pau Torres,Villarreal,0.8,0.2,0.3
Adri Embarba,Almeria,0,0.1,0.8
Anuar Tuhami,Real Valladolid,0.7,0.3,1
Yuri Berchiche,Athletic Club,0.4,0.3,0.9
Yeray Álvarez,Athletic Club,0.5,0,0.4
Nahuel Molina,Atletico Madrid,0.2,0.5,0.9
Lucas Boyé,Elche,0.1,0,0.8
Iza Carcelén,Cadiz,0.4,0.5,0.9
Selim Amallah,Real Valladolid,0,0.1,0.3
Eduardo Camavinga,Real Madrid,0.1,0.1,0.5
Youssouf Sabaly,Real Betis,0.3,0.2,1.2
Pablo Maffeo,Mallorca,0.3,0.5,0.8
Marcos Acuña,Sevilla,0.2,0.1,0.4
Javi Guerra,Valencia,0.1,0,0.7
Pape Gueye,Sevilla,0.3,0,1
