player_name,team_name,Total_Clearances
Antoine Griezmann,Atletico Madrid,0.8
Karim Benzema,Real Madrid,0.2
Robert Lewandowski,Barcelona,0.4
Leo Román,Mallorca,0
Vinícius Júnior,Real Madrid,0
Rodrygo,Real Madrid,0.1
Memphis Depay,Barcelona,0
Pedri,Barcelona,0.3
Joselu,Espanyol,1.2
Frenkie de Jong,Barcelona,0.6
Gerónimo Rulli,Villarreal,0.7
Ousmane Dembélé,Barcelona,0
Mikel Merino,Real Sociedad,1.5
Gonzalo Escalante,Cadiz,1.7
Lee Kang-In,Mallorca,0.1
Federico Valverde,Real Madrid,0.4
Sergi Darder,Espanyol,0.6
Enes Ünal,Getafe,1
Juan Foyth,Villarreal,2.4
Isi Palazón,Rayo Vallecano,0.7
Raphinha,Barcelona,0.3
Toni Kroos,Real Madrid,0.2
Aleix García,Girona,0.9
Aurélien Tchouaméni,Real Madrid,1.5
David Gil,Cadiz,1.3
Conan Ledesma,Cadiz,1.5
Éder Militão,Real Madrid,3
Vedat Muriqi,Mallorca,2.1
Sergio Busquets,Barcelona,1
Takefusa Kubo,Real Sociedad,0.1
Guido Rodríguez,Real Betis,2
José Gayà,Valencia,1.3
Javi Galán,Celta Vigo,1.5
Jules Koundé,Barcelona,1.9
José Giménez,Atletico Madrid,4.8
Dani Parejo,Villarreal,0.8
Marco Asensio,Real Madrid,0.1
Thibaut Courtois,Real Madrid,0.3
Gerard Moreno,Villarreal,0.5
Brais Méndez,Real Sociedad,0.4
Loïc Badé,Sevilla,3.9
Iago Aspas,Celta Vigo,0.6
Viktor Tsygankov,Girona,0.5
Ronald Araujo,Barcelona,1.8
Yeremy Pino,Villarreal,0.7
Lucas Robertone,Almeria,1.1
Reinildo,Atletico Madrid,2.4
Félix Garreta,Real Betis,4
Alejandro Balde,Barcelona,0.4
Nico Williams,Athletic Club,0.2
Samuel Chukwueze,Villarreal,0.4
Claudio Bravo,Real Betis,0.7
Antonio Raíllo,Mallorca,5.1
Nicolas Jackson,Villarreal,0.1
Ayoze Pérez,Real Betis,0.2
Marc-André ter Stegen,Barcelona,0.6
Yannick Carrasco,Atletico Madrid,0.5
Umar Sadiq,Almeria,1
Alexander Sørloth,Real Sociedad,0.8
David Silva,Real Sociedad,0.6
Álvaro Morata,Atletico Madrid,0.6
Gerard Piqué,Barcelona,2.7
Aitor Fernández,Osasuna,1.4
André Almeida,Valencia,0.4
David Soria,Getafe,0.9
Gavi,Barcelona,0.6
Álex Moreno,Real Betis,2.2
Iñaki Williams,Athletic Club,0.9
Jordi Masip,Real Valladolid,0.5
Giovani Lo Celso,Villarreal,0.1
Jordi Alba,Barcelona,0.6
Andreas Christensen,Barcelona,2
Álvaro García,Rayo Vallecano,0.5
Gabri Veiga,Celta Vigo,0.1
Iñigo Martínez,Athletic Club,3.5
Samuel Lino,Valencia,0.2
Juan Miranda,Real Betis,2.4
Marcos Llorente,Atletico Madrid,0.8
Rodrigo De Paul,Atletico Madrid,0.1
Pau Torres,Villarreal,4.1
Adri Embarba,Almeria,0.2
Anuar Tuhami,Real Valladolid,0.7
Yuri Berchiche,Athletic Club,1.7
Yeray Álvarez,Athletic Club,3.6
Nahuel Molina,Atletico Madrid,1.4
Lucas Boyé,Elche,1.3
Iza Carcelén,Cadiz,2.5
Selim Amallah,Real Valladolid,0.1
Eduardo Camavinga,Real Madrid,0.5
Youssouf Sabaly,Real Betis,2
Pablo Maffeo,Mallorca,1.7
Marcos Acuña,Sevilla,1.1
Javi Guerra,Valencia,0.9
Pape Gueye,Sevilla,0.6
Santi Comesaña,Rayo Vallecano,0.4
David García,Osasuna,4.7
Robin Le Normand,Real Sociedad,2.8
Dominik Greif,Mallorca,0
Ivo Grbic,Atletico Madrid,1.4
David López,Girona,3.2
Gonzalo Plata,Real Valladolid,0.2
Diego Rico,Real Sociedad,2
Alexander Isak,Real Sociedad,1
Dani Ceballos,Real Madrid,0.2
Gerard Gumbau,Elche,1.1
Alex Berenguer,Athletic Club,0.1
Copete,Mallorca,3.5
Omar Alderete,Getafe,3.3
Arnau Martínez,Girona,1.4
Diego López,Valencia,0.2
Germán Pezzella,Real Betis,4.2
Unai Núñez,Celta Vigo,3.7
Edgar Badia,Elche,1.1
Fernando Pacheco,Espanyol,1.1
Iker Muniain,Athletic Club,0.1
Alfonso Espino,Cadiz,2.4
Oihan Sancet,Athletic Club,0.3
Mario Hermoso,Atletico Madrid,2.9
João Félix,Atletico Madrid,0.1
William Carvalho,Real Betis,0.6
Adri Embarba,Espanyol,0
Koke,Atletico Madrid,0.6
Fran García,Rayo Vallecano,1.3
Étienne Capoue,Villarreal,0.7
Sergio Canales,Real Betis,0.2
Stefan Savic,Atletico Madrid,2.7
Cyle Larin,Real Valladolid,0.8
Lucas Torró,Osasuna,1.9
Lucas Ocampos,Sevilla,0.3
Álex Remiro,Real Sociedad,0.7
Carlos García,Cadiz,2
Valentín Castellanos,Girona,0.7
Moi Gómez,Osasuna,0.2
Martín Zubimendi,Real Sociedad,1.4
Héctor Bellerín,Barcelona,0.3
Oriol Romeu,Girona,1.5
Lucas Vázquez,Real Madrid,0.4
Eray Cömert,Valencia,3.2
Rui Silva,Real Betis,0.6
El Bilal Touré,Almeria,1
Ante Budimir,Osasuna,0.6
Paulo Gazzaniga,Girona,0.4
Predrag Rajkovic,Mallorca,0.9
Luis Suárez,Almeria,0.5
Nabil Fekir,Real Betis,0
Sergio Escudero,Real Valladolid,1.7
Aitor Ruibal,Real Betis,1.2
Vinicius Souza,Espanyol,1.4
Thierry Correia,Valencia,1.7
Rubén Sobrino,Cadiz,0.5
Jan Oblak,Atletico Madrid,0.5
Omar Mascarell,Elche,1.9
Nemanja Gudelj,Sevilla,2.9
Íñigo Ruíz de Galarreta,Mallorca,0.6
Suso,Sevilla,0.1
Marko Dmitrovic,Sevilla,0.9
Justin Kluivert,Valencia,0.1
Óscar De Marcos,Athletic Club,1.5
Fernando Martínez,Almeria,0.6
Aridane Hernández,Osasuna,4.1
Alfonso Pedraza,Villarreal,0.8
Abde Ezzalzouli,Osasuna,0.2
Raúl Albiol,Villarreal,4.3
Luka Modric,Real Madrid,0.2
Luiz Felipe,Real Betis,4.3
Sergi Roberto,Barcelona,0.6
Mouctar Diakhaby,Valencia,3.6
Joseph Aidoo,Celta Vigo,4.1
Igor Zubeldia,Real Sociedad,2.9
Luiz Henrique,Real Betis,0.4
Ander Barrenetxea,Real Sociedad,0.3
Hugo Mallo,Celta Vigo,2.5
Óscar Trejo,Rayo Vallecano,0.2
Chris Ramos,Cadiz,1.3
Thomas Lemar,Atletico Madrid,0.4
Mikel Vesga,Athletic Club,1
Carlos Clerc,Elche,2.6
Borja Iglesias,Real Betis,0.5
