player_name,team_name,Unsuccessful,Successful,Total Dribbles
Antoine Griezmann,Atletico Madrid,0.9,1.2,2.2
Karim Benzema,Real Madrid,1,0.8,1.8
Robert Lewandowski,Barcelona,0.9,0.9,1.7
Leo Román,Mallorca,0,0,0
Vinícius Júnior,Real Madrid,5.9,3.4,9.3
Rodrygo,Real Madrid,2.6,2.4,5
Memphis Depay,Barcelona,2,1.5,3.5
Pedri,Barcelona,1,1.4,2.3
Joselu,Espanyol,0.7,0.5,1.2
Frenkie de Jong,Barcelona,0.8,1.1,1.8
Gerónimo Rulli,Villarreal,0,0,0
Ousmane Dembélé,Barcelona,2.5,2.1,4.6
Mikel Merino,Real Sociedad,0.6,0.7,1.3
Gonzalo Escalante,Cadiz,0.2,0.5,0.7
Lee Kang-In,Mallorca,1.2,2.5,3.7
Federico Valverde,Real Madrid,0.4,0.9,1.3
Sergi Darder,Espanyol,1.8,1.8,3.6
Enes Ünal,Getafe,0.6,0.6,1.2
Juan Foyth,Villarreal,0.9,1.1,2
Isi Palazón,Rayo Vallecano,1.7,1.4,3
Raphinha,Barcelona,1.7,1.3,2.9
Toni Kroos,Real Madrid,0.6,0.3,0.9
Aleix García,Girona,0.4,0.4,0.9
Aurélien Tchouaméni,Real Madrid,0.3,0.8,1.2
David Gil,Cadiz,0,0,0
Conan Ledesma,Cadiz,0,0.1,0.1
Éder Militão,Real Madrid,0.2,0.3,0.6
Vedat Muriqi,Mallorca,0.5,0.3,0.9
Sergio Busquets,Barcelona,0.2,0.4,0.5
Takefusa Kubo,Real Sociedad,1.9,1.4,3.3
Guido Rodríguez,Real Betis,0.4,0.6,1
José Gayà,Valencia,0.4,0.8,1.2
Javi Galán,Celta Vigo,2.2,1.9,4.2
Jules Koundé,Barcelona,0.4,0.5,1
José Giménez,Atletico Madrid,0.1,0.2,0.4
Dani Parejo,Villarreal,0.3,0.8,1.1
Marco Asensio,Real Madrid,0.3,0.7,1.1
Thibaut Courtois,Real Madrid,0,0.1,0.1
Gerard Moreno,Villarreal,1.3,1.4,2.7
Brais Méndez,Real Sociedad,1.1,0.4,1.6
Loïc Badé,Sevilla,0.2,0.3,0.5
Iago Aspas,Celta Vigo,0.9,0.6,1.5
Viktor Tsygankov,Girona,0.7,0.9,1.6
Ronald Araujo,Barcelona,0.2,0.5,0.6
Yeremy Pino,Villarreal,1.3,1.3,2.6
Lucas Robertone,Almeria,1.1,0.7,1.8
Reinildo,Atletico Madrid,0.8,0.3,1.1
Félix Garreta,Real Betis,0,0,0
Alejandro Balde,Barcelona,1.4,1.5,2.9
Nico Williams,Athletic Club,3.3,2.3,5.6
Samuel Chukwueze,Villarreal,2.5,2.3,4.8
Claudio Bravo,Real Betis,0,0,0
Antonio Raíllo,Mallorca,0,0.1,0.1
Nicolas Jackson,Villarreal,0.5,0.9,1.4
Ayoze Pérez,Real Betis,1.8,2.2,4.1
Marc-André ter Stegen,Barcelona,0,0,0
Yannick Carrasco,Atletico Madrid,1.8,1.7,3.5
Umar Sadiq,Almeria,2.7,1.3,4
Alexander Sørloth,Real Sociedad,1.4,0.9,2.2
David Silva,Real Sociedad,1,0.7,1.7
Álvaro Morata,Atletico Madrid,0.6,0.6,1.1
Gerard Piqué,Barcelona,0,0.1,0.1
Aitor Fernández,Osasuna,0,0,0
André Almeida,Valencia,1.3,1.4,2.7
David Soria,Getafe,0,0,0
Gavi,Barcelona,1,0.8,1.8
Álex Moreno,Real Betis,1.7,0.9,2.7
Iñaki Williams,Athletic Club,1.6,1.3,2.9
Jordi Masip,Real Valladolid,0,0,0
Giovani Lo Celso,Villarreal,1.1,1,2.1
Jordi Alba,Barcelona,0.2,0.2,0.3
Andreas Christensen,Barcelona,0.1,0,0.1
Álvaro García,Rayo Vallecano,0.9,0.6,1.5
Gabri Veiga,Celta Vigo,1,1.1,2.1
Iñigo Martínez,Athletic Club,0,0,0
Samuel Lino,Valencia,1.8,1.4,3.2
Juan Miranda,Real Betis,0.4,0.4,0.9
Marcos Llorente,Atletico Madrid,0.7,0.5,1.2
Rodrigo De Paul,Atletico Madrid,0.5,0.5,1.1
Pau Torres,Villarreal,0.3,0.8,1
Adri Embarba,Almeria,2.4,1.6,4
Anuar Tuhami,Real Valladolid,0.7,0.7,1.3
Yuri Berchiche,Athletic Club,0.6,0.4,1
Yeray Álvarez,Athletic Club,0.2,0.2,0.4
Nahuel Molina,Atletico Madrid,0.9,0.6,1.5
Lucas Boyé,Elche,1.5,2.2,3.7
Iza Carcelén,Cadiz,0.3,0.5,0.8
Selim Amallah,Real Valladolid,2,1.6,3.6
Eduardo Camavinga,Real Madrid,0.9,1,1.9
Youssouf Sabaly,Real Betis,0.9,0.8,1.7
Pablo Maffeo,Mallorca,1.4,1,2.4
Marcos Acuña,Sevilla,0.9,0.9,1.8
Javi Guerra,Valencia,1.4,1.4,2.8
Pape Gueye,Sevilla,0.6,0.9,1.4
Santi Comesaña,Rayo Vallecano,0.7,1,1.7
David García,Osasuna,0,0.1,0.1
Robin Le Normand,Real Sociedad,0,0.1,0.1
Dominik Greif,Mallorca,0,0,0
Ivo Grbic,Atletico Madrid,0,0,0
David López,Girona,0,0.3,0.3
Gonzalo Plata,Real Valladolid,3.1,1.9,5.1
Diego Rico,Real Sociedad,0.7,0.7,1.4
Alexander Isak,Real Sociedad,1.5,1,2.5
Dani Ceballos,Real Madrid,0.9,1.3,2.2
Gerard Gumbau,Elche,0.4,0.2,0.6
Alex Berenguer,Athletic Club,1.3,1,2.3
Copete,Mallorca,0.1,0.7,0.8
Omar Alderete,Getafe,0.2,0.7,0.9
Arnau Martínez,Girona,0.7,0.7,1.5
Diego López,Valencia,1,0.9,1.9
Germán Pezzella,Real Betis,0.1,0.1,0.2
Unai Núñez,Celta Vigo,0.1,0.3,0.4
Edgar Badia,Elche,0,0,0
Fernando Pacheco,Espanyol,0,0,0
Iker Muniain,Athletic Club,0.9,1.3,2.2
Alfonso Espino,Cadiz,0.8,0.7,1.4
Oihan Sancet,Athletic Club,1,1.3,2.3
Mario Hermoso,Atletico Madrid,0.3,0.5,0.8
João Félix,Atletico Madrid,1.3,0.4,1.7
William Carvalho,Real Betis,0.7,0.9,1.6
