player_name,team_name,Fouled,Fouls
Antoine Griezmann,Atletico Madrid,1.1,0.6
Karim Benzema,Real Madrid,0.3,0.4
Robert Lewandowski,Barcelona,1.4,1.1
Leo Román,Mallorca,0,0
Vinícius Júnior,Real Madrid,3.7,1.4
Rodrygo,Real Madrid,1.4,0.5
Memphis Depay,Barcelona,1,1
Pedri,Barcelona,1.7,0.3
Joselu,Espanyol,2.1,0.7
Frenkie de Jong,Barcelona,1,1
Gerónimo Rulli,Villarreal,0.1,0
Ousmane Dembélé,Barcelona,0.8,0.6
Mikel Merino,Real Sociedad,1.5,2.2
Gonzalo Escalante,Cadiz,1.2,1
Lee Kang-In,Mallorca,1.7,1.4
Federico Valverde,Real Madrid,0.4,0.3
Sergi Darder,Espanyol,2.1,0.8
Enes Ünal,Getafe,2.2,1.7
Juan Foyth,Villarreal,0.4,1.7
Isi Palazón,Rayo Vallecano,2.8,1
Raphinha,Barcelona,1,0.6
Toni Kroos,Real Madrid,1.2,0.9
Aleix García,Girona,1,0.5
Aurélien Tchouaméni,Real Madrid,1.1,1.1
David Gil,Cadiz,0,0
Conan Ledesma,Cadiz,0.2,0
Éder Militão,Real Madrid,1.2,1.1
Vedat Muriqi,Mallorca,1.1,1.7
Sergio Busquets,Barcelona,1.3,1
Takefusa Kubo,Real Sociedad,1.4,1
Guido Rodríguez,Real Betis,1.9,1.3
José Gayà,Valencia,0.9,0.4
Javi Galán,Celta Vigo,2,1.4
Jules Koundé,Barcelona,0.4,0.8
José Giménez,Atletico Madrid,0.3,0.7
Dani Parejo,Villarreal,2,0.8
Marco Asensio,Real Madrid,0.5,0.3
Thibaut Courtois,Real Madrid,0.1,0
Gerard Moreno,Villarreal,0.7,0.5
Brais Méndez,Real Sociedad,1.6,1.8
Loïc Badé,Sevilla,0.2,0.7
Iago Aspas,Celta Vigo,1.6,0.4
Viktor Tsygankov,Girona,1.1,0.4
Ronald Araujo,Barcelona,0.8,0.7
Yeremy Pino,Villarreal,1.5,1.8
Lucas Robertone,Almeria,2.4,0.9
Reinildo,Atletico Madrid,1.4,1.5
Félix Garreta,Real Betis,1,2
Alejandro Balde,Barcelona,0.9,0.8
Nico Williams,Athletic Club,1,0.6
Samuel Chukwueze,Villarreal,0.9,0.5
Claudio Bravo,Real Betis,0,0
Antonio Raíllo,Mallorca,0.7,1.4
Nicolas Jackson,Villarreal,1,1.2
Ayoze Pérez,Real Betis,1.5,1.7
Marc-André ter Stegen,Barcelona,0.1,0
Yannick Carrasco,Atletico Madrid,0.6,0.7
Umar Sadiq,Almeria,0.7,3
Alexander Sørloth,Real Sociedad,0.5,0.9
David Silva,Real Sociedad,1.2,1.1
Álvaro Morata,Atletico Madrid,1.6,1.1
Gerard Piqué,Barcelona,0.3,1
Aitor Fernández,Osasuna,0,0
André Almeida,Valencia,1.2,0.9
David Soria,Getafe,0.1,0
Gavi,Barcelona,2,2.1
Álex Moreno,Real Betis,1.3,1.1
Iñaki Williams,Athletic Club,0.9,0.9
Jordi Masip,Real Valladolid,0.2,0
Giovani Lo Celso,Villarreal,1.4,0.7
Jordi Alba,Barcelona,0.2,0.5
Andreas Christensen,Barcelona,0.3,0.8
Álvaro García,Rayo Vallecano,0.9,1
Gabri Veiga,Celta Vigo,1.1,1.2
Iñigo Martínez,Athletic Club,0.7,0.9
Samuel Lino,Valencia,1.6,0.9
Juan Miranda,Real Betis,1,0.7
Marcos Llorente,Atletico Madrid,0.6,1.4
Rodrigo De Paul,Atletico Madrid,1.6,1.1
Pau Torres,Villarreal,0.5,0.6
Adri Embarba,Almeria,1,0.8
Anuar Tuhami,Real Valladolid,2,1
Yuri Berchiche,Athletic Club,1.1,1.1
Yeray Álvarez,Athletic Club,0.8,0.8
Nahuel Molina,Atletico Madrid,0.5,0.7
Lucas Boyé,Elche,1.3,1.7
Iza Carcelén,Cadiz,1,0.6
Selim Amallah,Real Valladolid,1.1,1.4
Eduardo Camavinga,Real Madrid,1.9,1.1
Youssouf Sabaly,Real Betis,1.4,0.9
Pablo Maffeo,Mallorca,1.3,0.9
Marcos Acuña,Sevilla,1.1,1.1
