player_name,team_name,Total_Interception
Antoine Griezmann,Atletico Madrid,0.6
Karim Benzema,Real Madrid,0.1
Robert Lewandowski,Barcelona,0.1
Leo Román,Mallorca,0
Vinícius Júnior,Real Madrid,0.2
Rodrygo,Real Madrid,0.2
Memphis Depay,Barcelona,0
Pedri,Barcelona,0.5
Joselu,Espanyol,0.2
Frenkie de Jong,Barcelona,1.1
Gerónimo Rulli,Villarreal,0.1
Ousmane Dembélé,Barcelona,0
Mikel Merino,Real Sociedad,0.6
Gonzalo Escalante,Cadiz,1.2
Lee Kang-In,Mallorca,0.3
Federico Valverde,Real Madrid,0.5
Sergi Darder,Espanyol,0.6
Enes Ünal,Getafe,0.2
Juan Foyth,Villarreal,0.8
Isi Palazón,Rayo Vallecano,0.5
Raphinha,Barcelona,0.4
Toni Kroos,Real Madrid,0.8
Aleix García,Girona,1
Aurélien Tchouaméni,Real Madrid,1.5
David Gil,Cadiz,0
Conan Ledesma,Cadiz,0.1
Éder Militão,Real Madrid,1.3
Vedat Muriqi,Mallorca,0.3
Sergio Busquets,Barcelona,0.9
Takefusa Kubo,Real Sociedad,0.3
Guido Rodríguez,Real Betis,1.2
José Gayà,Valencia,0.7
Javi Galán,Celta Vigo,1.1
Jules Koundé,Barcelona,0.7
José Giménez,Atletico Madrid,0.9
Dani Parejo,Villarreal,0.8
Marco Asensio,Real Madrid,0.2
Thibaut Courtois,Real Madrid,0.1
Gerard Moreno,Villarreal,0.2
Brais Méndez,Real Sociedad,0.4
Loïc Badé,Sevilla,1.2
Iago Aspas,Celta Vigo,0.2
Viktor Tsygankov,Girona,0.4
Ronald Araujo,Barcelona,0.5
Yeremy Pino,Villarreal,0.4
Lucas Robertone,Almeria,1.2
Reinildo,Atletico Madrid,1.4
Félix Garreta,Real Betis,1
Alejandro Balde,Barcelona,0.4
Nico Williams,Athletic Club,0.2
Samuel Chukwueze,Villarreal,0.3
Claudio Bravo,Real Betis,0.2
Antonio Raíllo,Mallorca,1
Nicolas Jackson,Villarreal,0.1
Ayoze Pérez,Real Betis,0.7
Marc-André ter Stegen,Barcelona,0
Yannick Carrasco,Atletico Madrid,0.3
Umar Sadiq,Almeria,0
Alexander Sørloth,Real Sociedad,0.1
David Silva,Real Sociedad,0.5
Álvaro Morata,Atletico Madrid,0
Gerard Piqué,Barcelona,0.3
Aitor Fernández,Osasuna,0.1
André Almeida,Valencia,0.6
David Soria,Getafe,0
Gavi,Barcelona,0.5
Álex Moreno,Real Betis,1.1
Iñaki Williams,Athletic Club,0.2
Jordi Masip,Real Valladolid,0
Giovani Lo Celso,Villarreal,0.3
Jordi Alba,Barcelona,0.5
Andreas Christensen,Barcelona,0.9
Álvaro García,Rayo Vallecano,1
Gabri Veiga,Celta Vigo,0.6
Iñigo Martínez,Athletic Club,1.2
Samuel Lino,Valencia,0.5
Juan Miranda,Real Betis,1
Marcos Llorente,Atletico Madrid,0.8
Rodrigo De Paul,Atletico Madrid,0.3
Pau Torres,Villarreal,0.4
Adri Embarba,Almeria,0.3
Anuar Tuhami,Real Valladolid,1
Yuri Berchiche,Athletic Club,1.4
Yeray Álvarez,Athletic Club,1.7
Nahuel Molina,Atletico Madrid,0.5
Lucas Boyé,Elche,0.4
Iza Carcelén,Cadiz,0.7
Selim Amallah,Real Valladolid,0.7
Eduardo Camavinga,Real Madrid,0.5
Youssouf Sabaly,Real Betis,0.8
Pablo Maffeo,Mallorca,0.7
Marcos Acuña,Sevilla,0.8
Javi Guerra,Valencia,1.1
Pape Gueye,Sevilla,1.4
Santi Comesaña,Rayo Vallecano,0.9
David García,Osasuna,1.4
Robin Le Normand,Real Sociedad,1
Dominik Greif,Mallorca,0
Ivo Grbic,Atletico Madrid,0
David López,Girona,0.7
Gonzalo Plata,Real Valladolid,0.4
Diego Rico,Real Sociedad,1
Alexander Isak,Real Sociedad,0
Dani Ceballos,Real Madrid,0.8
Gerard Gumbau,Elche,0.8
Alex Berenguer,Athletic Club,0.3
Copete,Mallorca,1.6
Omar Alderete,Getafe,1
Arnau Martínez,Girona,0.8
Diego López,Valencia,0.3
Germán Pezzella,Real Betis,1.6
Unai Núñez,Celta Vigo,2
Edgar Badia,Elche,0
Fernando Pacheco,Espanyol,0.1
Iker Muniain,Athletic Club,0.1
Alfonso Espino,Cadiz,1.3
Oihan Sancet,Athletic Club,0.1
Mario Hermoso,Atletico Madrid,0.7
João Félix,Atletico Madrid,0.2
William Carvalho,Real Betis,0.5
Adri Embarba,Espanyol,0
Koke,Atletico Madrid,0.6
Fran García,Rayo Vallecano,1.2
Étienne Capoue,Villarreal,0.7
Sergio Canales,Real Betis,0.5
Stefan Savic,Atletico Madrid,1.5
Cyle Larin,Real Valladolid,0
Lucas Torró,Osasuna,1.3
Lucas Ocampos,Sevilla,0.4
Álex Remiro,Real Sociedad,0
Carlos García,Cadiz,0
Valentín Castellanos,Girona,0.2
Moi Gómez,Osasuna,0.3
Martín Zubimendi,Real Sociedad,1
Héctor Bellerín,Barcelona,1
Oriol Romeu,Girona,1.1
Lucas Vázquez,Real Madrid,0.3
Eray Cömert,Valencia,1.3
Rui Silva,Real Betis,0
El Bilal Touré,Almeria,0
Ante Budimir,Osasuna,0.2
Paulo Gazzaniga,Girona,0
Predrag Rajkovic,Mallorca,0
Luis Suárez,Almeria,0.1
Nabil Fekir,Real Betis,0.1
Sergio Escudero,Real Valladolid,1.1
Aitor Ruibal,Real Betis,0.9
Vinicius Souza,Espanyol,1.4
Thierry Correia,Valencia,0.9
Rubén Sobrino,Cadiz,0.7
Jan Oblak,Atletico Madrid,0
Omar Mascarell,Elche,1.6
Nemanja Gudelj,Sevilla,1
Íñigo Ruíz de Galarreta,Mallorca,1
Suso,Sevilla,0.1
Marko Dmitrovic,Sevilla,0
Justin Kluivert,Valencia,0.3
Óscar De Marcos,Athletic Club,0.8
Fernando Martínez,Almeria,0
Aridane Hernández,Osasuna,1.2
Alfonso Pedraza,Villarreal,0.7
Abde Ezzalzouli,Osasuna,0.1
Raúl Albiol,Villarreal,0.6
Luka Modric,Real Madrid,0.3
Luiz Felipe,Real Betis,1.2
Sergi Roberto,Barcelona,0.5
Mouctar Diakhaby,Valencia,0.7
Joseph Aidoo,Celta Vigo,0.9
Igor Zubeldia,Real Sociedad,0.7
Luiz Henrique,Real Betis,0.4
Ander Barrenetxea,Real Sociedad,0.2
Hugo Mallo,Celta Vigo,0.9
Óscar Trejo,Rayo Vallecano,0.2
Chris Ramos,Cadiz,0.1
Thomas Lemar,Atletico Madrid,0.3
Mikel Vesga,Athletic Club,1
Carlos Clerc,Elche,0.9
Borja Iglesias,Real Betis,0
Aimar Oroz,Osasuna,0.8
Rodrigo Riquelme,Girona,0.3
Luis Milla,Getafe,1.2
Martin Valjent,Mallorca,1
Memphis Depay,Atletico Madrid,0
Carlos Soler,Valencia,0
Nacho,Real Madrid,0.7
Federico Fernández,Elche,2
Álex Collado,Elche,0.1
Eric García,Barcelona,0.8
Aihen Muñoz,Real Sociedad,0.4
Cenk Özkacar,Valencia,0.7
Manu Morlanes,Mallorca,0.4
Kike Barja,Osasuna,0.1
Álvaro Aceves,Real Valladolid,0
Léo Baptistão,Almeria,0.7
Alejandro Catena,Rayo Vallecano,0.8
Aïssa Mandi,Villarreal,1
Brian Oliván,Espanyol,0.7
César Montes,Espanyol,0.7
Dani Rodríguez,Mallorca,0.6
José Gragera,Espanyol,0.8
Umar Sadiq,Real Sociedad,0
Carles Pérez,Celta Vigo,0.2
Jawad El Yamiq,Real Valladolid,1.5
Théo Bongonda,Cadiz,0.2
Óscar Valentín,Rayo Vallecano,1.3
Álex Baena,Villarreal,0.2
Martín Montoya,Real Betis,1.5
Chimy Ávila,Osasuna,0.3
Dani Vivian,Athletic Club,0.8
Nico González,Valencia,0.7
Sergi Guardiola,Cadiz,0.2
Álex Centelles,Almeria,0.7
David Alaba,Real Madrid,0.6
Santiago Bueno,Girona,0.9
Tete Morente,Elche,0.8
Pepe Reina,Villarreal,0
Gonzalo Melero,Almeria,0.3
Edgar González,Real Betis,0.8
Ferland Mendy,Real Madrid,0.8
Franco Cervi,Celta Vigo,1
Fernando,Sevilla,1.1
Samu Castillejo,Valencia,0.4
Kike Pérez,Real Valladolid,0.6
Florian Lejeune,Rayo Vallecano,0.5
Iván Sánchez,Real Valladolid,0.3
Rodri,Real Betis,0.4
Isco,Sevilla,0.8
Miguel Gutiérrez,Girona,0.5
Iván Fresneda,Real Valladolid,0.7
Martin Braithwaite,Espanyol,0.2
Saúl Ñíguez,Atletico Madrid,0.5
Nemanja Maksimovic,Getafe,1.2
Youssef En-Nesyri,Sevilla,0.1
Samú Costa,Almeria,1.2
Geoffrey Kondogbia,Atletico Madrid,1.2
Óliver Torres,Sevilla,0.3
Lázaro,Almeria,0.1
Iván Martín,Girona,0.4
Ansu Fati,Barcelona,0.1
Borja García,Girona,0.5
Axel Witsel,Atletico Madrid,0.7
Íñigo Lekue,Athletic Club,0.7
Asier Illarramendi,Real Sociedad,0.8
Damián Suárez,Getafe,0.5
Sergio Camello,Rayo Vallecano,0.1
Jorge Cuenca,Villarreal,0.6
Sergio Herrera,Osasuna,0.1
Javi Sánchez,Real Valladolid,1.4
Fernando Pacheco,Almeria,0
Ramon Terrats,Villarreal,0.5
Álex Sola,Real Sociedad,0.7
Luis Pérez,Real Valladolid,0.9
Giorgi Mamardashvili,Valencia,0
Ivan Rakitic,Sevilla,0.9
Manu Sánchez,Osasuna,0.5
Marcão,Sevilla,1.2
Érik Lamela,Sevilla,0.2
Bryan Gil,Sevilla,0.5
Rubén Peña,Osasuna,0.9
Lucas Rosa,Real Valladolid,0.9
Djené Dakonam,Getafe,1.3
Diego Mariño,Almeria,0
Iker Benito,Osasuna,0.5
Julen Agirrezabala,Athletic Club,0
Srdjan Babic,Almeria,0.9
Marcos Alonso,Barcelona,0.5
Antonio Rüdiger,Real Madrid,0.6
Rodrigo Ely,Almeria,0.9
Monchu,Real Valladolid,0.5
Joaquín Fernández,Real Valladolid,1
Jaume Costa,Mallorca,0.7
Jorge Meré,Cadiz,0.6
Yan Couto,Girona,0.2
Alex Telles,Sevilla,0.7
Agustín Marchesín,Celta Vigo,0
Gorka Guruzeta,Athletic Club,0.1
Manu Bueno,Sevilla,0
Javi Puado,Espanyol,0.3
Andrés Guardado,Real Betis,0.9
Óscar Plano,Real Valladolid,0.9
Brian Ocampo,Cadiz,0.2
Juan Iglesias,Getafe,0.7
Ángel Correa,Atletico Madrid,0.3
Domingos Duarte,Getafe,1.3
Jon Pacheco,Real Sociedad,0.7
Borja Mayoral,Getafe,0.1
Giovanni González,Mallorca,0.4
Rubén Alcaraz,Cadiz,0.6
Gastón Álvarez,Getafe,0.7
Darwin Machís,Real Valladolid,0.3
Fran Beltrán,Celta Vigo,1.5
Andoni Gorosabel,Real Sociedad,0.6
Leandro Cabrera,Espanyol,1.3
Víctor Ruiz,Real Betis,0.6
Óscar Rodríguez,Celta Vigo,0.7
Ferran Torres,Barcelona,0.1
Álex Pozo,Almeria,0.9
José Luís Morales,Villarreal,0.1
Jørgen Strand Larsen,Celta Vigo,0.1
Unai Simón,Athletic Club,0
Mauro Arambarri,Getafe,1.1
Stefan Mitrovic,Getafe,0.8
Edu Expósito,Espanyol,0.4
Toni Villa,Girona,0.3
Dani García,Athletic Club,0.8
Rubén Sánchez,Espanyol,1
Mohamed-Ali Cho,Real Sociedad,0.1
Andriy Lunin,Real Madrid,0
Hugo Guillamón,Valencia,0.8
Lucas Olaza,Real Valladolid,0.6
Luis Hernández,Cadiz,0.9
Álvaro Aguado,Real Valladolid,0.4
Unai García,Osasuna,0.9
Óscar Mingueza,Celta Vigo,0.6
Jesús Navas,Sevilla,0.7
Paul Akouokou,Real Betis,1
Nacho Vidal,Osasuna,1
Yangel Herrera,Girona,0.2
Javi Hernández,Girona,0.3
Fernando Calero,Espanyol,0.5
Luca Koleosho,Espanyol,0
Karim Rekik,Sevilla,0.6
Raúl de Tomás,Rayo Vallecano,0
Haris Seferovic,Celta Vigo,0.1
Fali,Cadiz,0.5
Stole Dimitrievski,Rayo Vallecano,0
Lisandro Magallán,Elche,0.9
Kiko Femenía,Villarreal,1
Jon Moncayola,Osasuna,0.5
Rubén García,Osasuna,0.4
Dani Carvajal,Real Madrid,0.6
Iván Balliu,Rayo Vallecano,0.7
Jesús Corona,Sevilla,0.3
Ronaël Pierre-Gabriel,Espanyol,1.1
Gabriel Paulista,Valencia,1.5
Denis Suárez,Espanyol,0.3
Felipe,Atletico Madrid,0
Johan Mojica,Elche,1.3
Jorge Pascual,Villarreal,0
Munir El Haddadi,Getafe,0.3
Josan,Elche,0.3
Sergi Gómez,Espanyol,0.9
Miguel Rodríguez,Celta Vigo,0.1
Alberto Moreno,Villarreal,1
Papu Gómez,Sevilla,0.2
Francis Coquelin,Villarreal,0.6
Edinson Cavani,Valencia,0.1
Pere Milla,Elche,0.3
Sergio Akieme,Almeria,0.5
Yassine Bounou,Sevilla,0.1
Matheus Cunha,Atletico Madrid,0.2
Yunus Musah,Valencia,0.3
Mikel Oyarzabal,Real Sociedad,0.1
Iván Villar,Celta Vigo,0
Álvaro Fernández,Espanyol,0
John Donald,Elche,1
Aritz Elustondo,Real Sociedad,0.8
Juanmi Latasa,Getafe,0.1
