player_name,team_name,Total_Key passes,Long,Short
Antoine Griezmann,Atletico Madrid,2.2,0.3,1.9
Karim Benzema,Real Madrid,2,0,2
Robert Lewandowski,Barcelona,1.1,0.1,0.9
Leo Román,Mallorca,0,0,0
Vinícius Júnior,Real Madrid,1.9,0.1,1.9
Rodrygo,Real Madrid,1.4,0,1.4
Memphis Depay,Barcelona,1.5,0,1.5
Pedri,Barcelona,1.7,0.3,1.4
Joselu,Espanyol,0.6,0.1,0.6
Frenkie de Jong,Barcelona,1.4,0.1,1.2
Gerónimo Rulli,Villarreal,0,0,0
Ousmane Dembélé,Barcelona,1.6,0.3,1.3
Mikel Merino,Real Sociedad,1.3,0.2,1.2
Gonzalo Escalante,Cadiz,0.7,0,0.7
Lee Kang-In,Mallorca,1.5,0.7,0.8
Federico Valverde,Real Madrid,1.3,0.1,1.2
Sergi Darder,Espanyol,1.9,0.6,1.3
Enes Ünal,Getafe,0.8,0,0.8
Juan Foyth,Villarreal,0.5,0.1,0.5
Isi Palazón,Rayo Vallecano,1.8,0.6,1.2
Raphinha,Barcelona,1.6,0.3,1.3
Toni Kroos,Real Madrid,1.8,0.8,1
Aleix García,Girona,2.1,1.2,0.9
Aurélien Tchouaméni,Real Madrid,0.7,0,0.6
David Gil,Cadiz,0,0,0
Conan Ledesma,Cadiz,0,0,0
Éder Militão,Real Madrid,0.2,0.1,0.1
Vedat Muriqi,Mallorca,0.6,0,0.6
Sergio Busquets,Barcelona,0.8,0.2,0.6
Takefusa Kubo,Real Sociedad,1.1,0.1,1
Guido Rodríguez,Real Betis,0.3,0.1,0.2
José Gayà,Valencia,1.9,0.4,1.5
Javi Galán,Celta Vigo,1.4,0.4,1.1
Jules Koundé,Barcelona,0.6,0.1,0.5
José Giménez,Atletico Madrid,0.3,0.1,0.2
Dani Parejo,Villarreal,1.4,0.5,0.8
Marco Asensio,Real Madrid,1.3,0.3,1
Thibaut Courtois,Real Madrid,0.1,0,0
Gerard Moreno,Villarreal,0.9,0,0.9
Brais Méndez,Real Sociedad,1.4,0.6,0.9
Loïc Badé,Sevilla,0.1,0.1,0.1
Iago Aspas,Celta Vigo,2.2,0.1,2.1
Viktor Tsygankov,Girona,1.9,0.7,1.2
Ronald Araujo,Barcelona,0.3,0,0.3
Yeremy Pino,Villarreal,1.2,0.1,1.2
Lucas Robertone,Almeria,1.4,0.5,0.9
Reinildo,Atletico Madrid,0.4,0,0.4
Félix Garreta,Real Betis,0,0,0
Alejandro Balde,Barcelona,0.7,0,0.7
Nico Williams,Athletic Club,1.3,0.1,1.2
Samuel Chukwueze,Villarreal,1.2,0.2,1
Claudio Bravo,Real Betis,0,0,0
Antonio Raíllo,Mallorca,0.2,0,0.2
Nicolas Jackson,Villarreal,0.8,0.1,0.8
Ayoze Pérez,Real Betis,0.7,0.1,0.6
Marc-André ter Stegen,Barcelona,0.1,0.1,0
Yannick Carrasco,Atletico Madrid,1.3,0.3,1.1
Umar Sadiq,Almeria,1,0,1
Alexander Sørloth,Real Sociedad,0.9,0,0.9
David Silva,Real Sociedad,1.3,0.1,1.1
Álvaro Morata,Atletico Madrid,0.5,0,0.5
Gerard Piqué,Barcelona,0.1,0.1,0
Aitor Fernández,Osasuna,0,0,0
André Almeida,Valencia,1.3,0.3,0.9
David Soria,Getafe,0.1,0.1,0
Gavi,Barcelona,1.1,0,1
Álex Moreno,Real Betis,0.6,0.1,0.5
Iñaki Williams,Athletic Club,1.1,0,1.1
Jordi Masip,Real Valladolid,0,0,0
Giovani Lo Celso,Villarreal,1.4,0.2,1.2
Jordi Alba,Barcelona,1.6,0.3,1.3
Andreas Christensen,Barcelona,0.3,0,0.3
Álvaro García,Rayo Vallecano,1.4,0.2,1.2
Gabri Veiga,Celta Vigo,0.8,0,0.8
Iñigo Martínez,Athletic Club,0.3,0,0.3
Samuel Lino,Valencia,0.7,0,0.7
Juan Miranda,Real Betis,1,0.3,0.7
Marcos Llorente,Atletico Madrid,1.3,0.1,1.2
Rodrigo De Paul,Atletico Madrid,1.6,0.4,1.2
Pau Torres,Villarreal,0.4,0.1,0.3
Adri Embarba,Almeria,1.1,0.2,0.9
Anuar Tuhami,Real Valladolid,1.3,0,1.3
Yuri Berchiche,Athletic Club,0.7,0,0.7
Yeray Álvarez,Athletic Club,0.5,0.3,0.2
Nahuel Molina,Atletico Madrid,1.2,0.2,1
Lucas Boyé,Elche,0.8,0.1,0.8
Iza Carcelén,Cadiz,0.6,0.2,0.4
Selim Amallah,Real Valladolid,0.4,0.1,0.3
Eduardo Camavinga,Real Madrid,0.6,0.1,0.6
Youssouf Sabaly,Real Betis,0.5,0,0.5
Pablo Maffeo,Mallorca,1,0.3,0.7
Marcos Acuña,Sevilla,1.3,0.4,0.8
Javi Guerra,Valencia,0.5,0,0.5
Pape Gueye,Sevilla,0.6,0.1,0.5
Santi Comesaña,Rayo Vallecano,1.2,0.1,1.1
David García,Osasuna,0.2,0,0.1
Robin Le Normand,Real Sociedad,0.1,0,0.1
Dominik Greif,Mallorca,0,0,0
Ivo Grbic,Atletico Madrid,0,0,0
David López,Girona,0.4,0.1,0.3
Gonzalo Plata,Real Valladolid,1.1,0.1,1
Diego Rico,Real Sociedad,0.5,0.1,0.4
Alexander Isak,Real Sociedad,1,0,1
Dani Ceballos,Real Madrid,1,0.1,0.9
Gerard Gumbau,Elche,2.1,1.2,0.9
Alex Berenguer,Athletic Club,1.4,0.4,1
Copete,Mallorca,0.1,0,0.1
Omar Alderete,Getafe,0.2,0.1,0.1
Arnau Martínez,Girona,1.2,0.2,1
Diego López,Valencia,1,0.2,0.8
Germán Pezzella,Real Betis,0.1,0.1,0.1
Unai Núñez,Celta Vigo,0.1,0,0.1
Edgar Badia,Elche,0,0,0
Fernando Pacheco,Espanyol,0.2,0.2,0
Iker Muniain,Athletic Club,1.6,0.4,1.2
Alfonso Espino,Cadiz,1,0.3,0.7
Oihan Sancet,Athletic Club,1.2,0,1.2
Mario Hermoso,Atletico Madrid,0.5,0,0.5
João Félix,Atletico Madrid,0.7,0.1,0.6
William Carvalho,Real Betis,0.7,0.1,0.6
Adri Embarba,Espanyol,0,0,0
Koke,Atletico Madrid,0.8,0.1,0.7
Fran García,Rayo Vallecano,0.8,0.1,0.7
Étienne Capoue,Villarreal,0.4,0,0.3
Sergio Canales,Real Betis,1.8,0.3,1.5
Stefan Savic,Atletico Madrid,0,0,0
Cyle Larin,Real Valladolid,0.8,0.1,0.8
Lucas Torró,Osasuna,0.3,0,0.2
Lucas Ocampos,Sevilla,0.7,0.1,0.6
Álex Remiro,Real Sociedad,0,0,0
Carlos García,Cadiz,1,0,1
Valentín Castellanos,Girona,0.4,0,0.4
Moi Gómez,Osasuna,1.6,0.6,1
Martín Zubimendi,Real Sociedad,0.6,0.1,0.5
Héctor Bellerín,Barcelona,0.3,0,0.3
Oriol Romeu,Girona,0.6,0.1,0.5
Lucas Vázquez,Real Madrid,1,0.1,0.9
Eray Cömert,Valencia,0.1,0,0.1
Rui Silva,Real Betis,0,0,0
El Bilal Touré,Almeria,0.7,0,0.7
Ante Budimir,Osasuna,0.3,0,0.3
Paulo Gazzaniga,Girona,0,0,0
Predrag Rajkovic,Mallorca,0.1,0.1,0
Luis Suárez,Almeria,0.6,0,0.6
Nabil Fekir,Real Betis,1.5,0.5,1
Sergio Escudero,Real Valladolid,0.7,0.3,0.3
Aitor Ruibal,Real Betis,0.6,0.1,0.5
Vinicius Souza,Espanyol,0.3,0,0.3
Thierry Correia,Valencia,0.5,0.1,0.4
Rubén Sobrino,Cadiz,0.7,0,0.7
Jan Oblak,Atletico Madrid,0,0,0
Omar Mascarell,Elche,0.7,0.3,0.4
Nemanja Gudelj,Sevilla,0.1,0,0.1
Íñigo Ruíz de Galarreta,Mallorca,0.7,0.2,0.4
