player_name,team_name,CaughtOffside
Antoine Griezmann,Atletico Madrid,0.3
Karim Benzema,Real Madrid,0.9
Robert Lewandowski,Barcelona,0.6
Leo Román,Mallorca,0
Vinícius Júnior,Real Madrid,0.7
Rodrygo,Real Madrid,0.3
Memphis Depay,Barcelona,0.5
Pedri,Barcelona,0.2
Joselu,Espanyol,0.8
Frenkie de Jong,Barcelona,0
Gerónimo Rulli,Villarreal,0
Ousmane Dembélé,Barcelona,0.2
Mikel Merino,Real Sociedad,0.1
Gonzalo Escalante,Cadiz,0
Lee Kang-In,Mallorca,0.1
Federico Valverde,Real Madrid,0.1
Sergi Darder,Espanyol,0.1
Enes Ünal,Getafe,0.8
Juan Foyth,Villarreal,0
Isi Palazón,Rayo Vallecano,0.2
Raphinha,Barcelona,0.4
Toni Kroos,Real Madrid,0
Aleix García,Girona,0
Aurélien Tchouaméni,Real Madrid,0
David Gil,Cadiz,0
Conan Ledesma,Cadiz,0
Éder Militão,Real Madrid,0
Vedat Muriqi,Mallorca,0.8
Sergio Busquets,Barcelona,0
Takefusa Kubo,Real Sociedad,0.6
Guido Rodríguez,Real Betis,0
José Gayà,Valencia,0.2
Javi Galán,Celta Vigo,0.2
Jules Koundé,Barcelona,0.1
José Giménez,Atletico Madrid,0
Dani Parejo,Villarreal,0
Marco Asensio,Real Madrid,0.1
Thibaut Courtois,Real Madrid,0
Gerard Moreno,Villarreal,0.6
Brais Méndez,Real Sociedad,0.1
Loïc Badé,Sevilla,0
Iago Aspas,Celta Vigo,0.3
Viktor Tsygankov,Girona,0.1
Ronald Araujo,Barcelona,0
Yeremy Pino,Villarreal,0.5
Lucas Robertone,Almeria,0.1
Reinildo,Atletico Madrid,0
Félix Garreta,Real Betis,0
Alejandro Balde,Barcelona,0.2
Nico Williams,Athletic Club,0.4
Samuel Chukwueze,Villarreal,0.3
Claudio Bravo,Real Betis,0
Antonio Raíllo,Mallorca,0.2
Nicolas Jackson,Villarreal,0.5
Ayoze Pérez,Real Betis,0.1
Marc-André ter Stegen,Barcelona,0
Yannick Carrasco,Atletico Madrid,0.2
Umar Sadiq,Almeria,2.3
Alexander Sørloth,Real Sociedad,0.5
David Silva,Real Sociedad,0.1
Álvaro Morata,Atletico Madrid,0.7
Gerard Piqué,Barcelona,0
Aitor Fernández,Osasuna,0
André Almeida,Valencia,0
David Soria,Getafe,0
Gavi,Barcelona,0.3
Álex Moreno,Real Betis,0.1
Iñaki Williams,Athletic Club,0.6
Jordi Masip,Real Valladolid,0
Giovani Lo Celso,Villarreal,0.2
Jordi Alba,Barcelona,0.4
Andreas Christensen,Barcelona,0
Álvaro García,Rayo Vallecano,0.3
Gabri Veiga,Celta Vigo,0.1
Iñigo Martínez,Athletic Club,0.2
Samuel Lino,Valencia,0.4
Juan Miranda,Real Betis,0
Marcos Llorente,Atletico Madrid,0.1
Rodrigo De Paul,Atletico Madrid,0
Pau Torres,Villarreal,0
Adri Embarba,Almeria,0.3
Anuar Tuhami,Real Valladolid,0.3
Yuri Berchiche,Athletic Club,0.2
Yeray Álvarez,Athletic Club,0
Nahuel Molina,Atletico Madrid,0.1
Lucas Boyé,Elche,0.4
Iza Carcelén,Cadiz,0.1
Selim Amallah,Real Valladolid,0.1
Eduardo Camavinga,Real Madrid,0.1
Youssouf Sabaly,Real Betis,0.1
Pablo Maffeo,Mallorca,0.1
Marcos Acuña,Sevilla,0
Javi Guerra,Valencia,0
Pape Gueye,Sevilla,0.1
Santi Comesaña,Rayo Vallecano,0.1
David García,Osasuna,0
Robin Le Normand,Real Sociedad,0.1
Dominik Greif,Mallorca,0
Ivo Grbic,Atletico Madrid,0
David López,Girona,0.2
Gonzalo Plata,Real Valladolid,0.1
Diego Rico,Real Sociedad,0.1
Alexander Isak,Real Sociedad,0
Dani Ceballos,Real Madrid,0
Gerard Gumbau,Elche,0.1
Alex Berenguer,Athletic Club,0.5
Copete,Mallorca,0.1
Omar Alderete,Getafe,0
Arnau Martínez,Girona,0.2
Diego López,Valencia,0.1
Germán Pezzella,Real Betis,0
Unai Núñez,Celta Vigo,0
Edgar Badia,Elche,0
Fernando Pacheco,Espanyol,0
Iker Muniain,Athletic Club,0
Alfonso Espino,Cadiz,0.1
Oihan Sancet,Athletic Club,0.1
Mario Hermoso,Atletico Madrid,0.1
João Félix,Atletico Madrid,0.2
William Carvalho,Real Betis,0.1
Adri Embarba,Espanyol,0
Koke,Atletico Madrid,0
Fran García,Rayo Vallecano,0.1
Étienne Capoue,Villarreal,0
Sergio Canales,Real Betis,0.1
Stefan Savic,Atletico Madrid,0
Cyle Larin,Real Valladolid,1.5
Lucas Torró,Osasuna,0
Lucas Ocampos,Sevilla,0.3
Álex Remiro,Real Sociedad,0
Carlos García,Cadiz,0
Valentín Castellanos,Girona,0.9
Moi Gómez,Osasuna,0
