player_name,team_name,Total_Passes,AccLB,InAccLB,AccSP,InAccSP
Antoine Griezmann,Atletico Madrid,38.3,1.8,0.9,29.8,5.8
Karim Benzema,Real Madrid,44,0.6,0.3,37.8,5.5
Robert Lewandowski,Barcelona,22.4,0.7,0.4,16.8,4.5
Leo Román,Mallorca,39,10,12,16,1
Vinícius Júnior,Real Madrid,32.1,0.9,0.2,25,6
Rodrygo,Real Madrid,29.7,0.5,0.1,26.1,3
Memphis Depay,Barcelona,31,1,0.5,25,4.5
Pedri,Barcelona,54.1,4.3,0.8,43.1,6
Joselu,Espanyol,21.7,0.4,0.6,12.9,7.9
Frenkie de Jong,Barcelona,68.4,3,0.7,59.5,5.2
Gerónimo Rulli,Villarreal,33.8,5,5.4,23.3,0.1
Ousmane Dembélé,Barcelona,29.4,0.9,0.4,23.6,4.4
Mikel Merino,Real Sociedad,44.3,2,1.9,32.4,8
Gonzalo Escalante,Cadiz,30.4,1.1,2.3,22,5.1
Lee Kang-In,Mallorca,24.4,0.9,1.1,18.7,3.7
Federico Valverde,Real Madrid,46.8,1.7,0.9,39.7,4.5
Sergi Darder,Espanyol,37.5,2.5,3.1,27,4.9
Enes Ünal,Getafe,20.7,0.2,0.3,12.4,7.8
Juan Foyth,Villarreal,45.4,2.9,1.4,37,4.2
Isi Palazón,Rayo Vallecano,31.4,1.4,1.6,23.4,5
Raphinha,Barcelona,29,1.7,0.9,21.4,4.9
Toni Kroos,Real Madrid,77.7,6.8,1.1,66.7,3.1
Aleix García,Girona,48.4,3.3,1.6,39.7,3.8
Aurélien Tchouaméni,Real Madrid,51.1,1.2,0.4,46.5,2.9
David Gil,Cadiz,28.5,8.3,15.5,4.5,0.3
Conan Ledesma,Cadiz,28.6,7.5,15.1,5.9,0.1
Éder Militão,Real Madrid,55.8,3.4,2.5,46.1,3.8
Vedat Muriqi,Mallorca,23.3,0.4,0.6,13.1,9.2
Sergio Busquets,Barcelona,64.5,3.8,1.1,53.3,6.2
Takefusa Kubo,Real Sociedad,22.5,0.3,0.3,16.8,5.1
Guido Rodríguez,Real Betis,49.1,2.6,1.8,40.4,4.4
José Gayà,Valencia,39.5,2.1,3.3,29.9,4.3
Javi Galán,Celta Vigo,41.1,2.2,2.9,31,5.1
Jules Koundé,Barcelona,63.9,2.1,1.9,54.7,5.2
José Giménez,Atletico Madrid,47.4,4.2,2.4,37.9,2.9
Dani Parejo,Villarreal,65.1,4.1,1.4,55,4.7
Marco Asensio,Real Madrid,22.8,1,0.4,19,2.4
Thibaut Courtois,Real Madrid,30.3,3.9,4.5,21.5,0.3
Gerard Moreno,Villarreal,22.1,1,0.3,15.6,5.2
Brais Méndez,Real Sociedad,34.6,1.6,0.9,26.9,5.2
Loïc Badé,Sevilla,44.1,1.9,2.2,36.6,3.3
Iago Aspas,Celta Vigo,31.5,1.6,0.5,23.3,6.1
Viktor Tsygankov,Girona,29.4,0.9,0.6,20.5,7.3
Ronald Araujo,Barcelona,56.9,3.2,2.6,47.5,3.6
Yeremy Pino,Villarreal,22.5,0.6,0.4,17.3,4.2
Lucas Robertone,Almeria,32.7,2.2,1.8,24.7,4
Reinildo,Atletico Madrid,43.3,1.2,1.9,36.5,3.7
Félix Garreta,Real Betis,39,2,1,32,4
Alejandro Balde,Barcelona,42.7,1.1,0.7,37.8,3.2
Nico Williams,Athletic Club,21.4,0.4,0.3,16.4,4.3
Samuel Chukwueze,Villarreal,23.2,0.6,0.5,17.6,4.6
Claudio Bravo,Real Betis,28.9,6.5,12.8,9.4,0.3
Antonio Raíllo,Mallorca,34.9,2.1,2.5,26.9,3.4
Nicolas Jackson,Villarreal,12.2,0.3,0.1,9,2.8
Ayoze Pérez,Real Betis,19.7,0.2,0.1,15.7,3.7
Marc-André ter Stegen,Barcelona,32.3,6.9,5.2,19.7,0.5
Yannick Carrasco,Atletico Madrid,26.1,0.7,0.4,21.4,3.5
Umar Sadiq,Almeria,11.3,0,0,7,4.3
Alexander Sørloth,Real Sociedad,13.8,0.1,0.1,9.4,4.1
David Silva,Real Sociedad,40.4,1.4,0.6,33.4,5
Álvaro Morata,Atletico Madrid,11.5,0.3,0.3,7.1,3.8
Gerard Piqué,Barcelona,54.7,4.3,1.6,46.1,2.7
Aitor Fernández,Osasuna,33.4,10.1,12.5,10.4,0.4
André Almeida,Valencia,36.8,1.6,1.5,29.6,4.1
David Soria,Getafe,27.1,11.1,13.4,2.4,0.2
Gavi,Barcelona,32.1,0.9,0.4,27.1,3.6
Álex Moreno,Real Betis,35.1,1.2,2.3,25.9,5.6
Iñaki Williams,Athletic Club,19.7,0.4,0.3,13.6,5.4
Jordi Masip,Real Valladolid,30,6.3,9.9,13.6,0.2
Giovani Lo Celso,Villarreal,29.6,2.4,0.4,23.3,3.6
Jordi Alba,Barcelona,51.1,2.1,1.6,42.2,5.3
Andreas Christensen,Barcelona,65,2.8,1.4,58.3,2.5
Álvaro García,Rayo Vallecano,23.3,0.6,1.4,16.1,5.2
Gabri Veiga,Celta Vigo,19.5,0.9,0.6,14.1,3.9
Iñigo Martínez,Athletic Club,50.9,5.3,4.5,36.3,4.8
Samuel Lino,Valencia,27.7,0.6,0.7,21.7,4.8
Juan Miranda,Real Betis,29.8,1.3,2.1,21.6,4.8
Marcos Llorente,Atletico Madrid,32.5,0.8,0.5,27.1,4.1
Rodrigo De Paul,Atletico Madrid,44.9,3.3,1.8,34.5,5.3
Pau Torres,Villarreal,63.6,5.4,4.2,48.9,5.1
Adri Embarba,Almeria,14.5,0.8,0.6,10.1,3.1
Anuar Tuhami,Real Valladolid,12.7,0,0,9.7,3
Yuri Berchiche,Athletic Club,42.8,2.6,1.2,33.4,5.6
Yeray Álvarez,Athletic Club,49.2,4.3,4.8,35.6,4.5
Nahuel Molina,Atletico Madrid,45.7,1.7,2.1,34.5,7.4
Lucas Boyé,Elche,18,0.5,0.2,13.9,3.4
Iza Carcelén,Cadiz,27.5,1.5,1.3,20.8,4
Selim Amallah,Real Valladolid,11.3,0.6,0.3,8.1,2.3
Eduardo Camavinga,Real Madrid,38.3,1.4,0.4,33.5,2.9
Youssouf Sabaly,Real Betis,33.5,0.7,1.2,27.2,4.5
Pablo Maffeo,Mallorca,24.3,1.4,2.5,15.9,4.6
Marcos Acuña,Sevilla,32.8,2.4,2,24.1,4.4
Javi Guerra,Valencia,22.8,0.4,0.9,18.2,3.3
Pape Gueye,Sevilla,33.3,2.8,1.8,25.1,3.6
Santi Comesaña,Rayo Vallecano,34.8,1.7,0.7,27.5,4.9
David García,Osasuna,44.3,3.8,3.8,32.2,4.6
Robin Le Normand,Real Sociedad,52.5,3.2,2.3,43.2,3.9
