player_name,team_name,UnsuccessfulTouches,Dispossessed
Antoine Griezmann,Atletico Madrid,1.1,0.9
Karim Benzema,Real Madrid,1.3,1.2
Robert Lewandowski,Barcelona,2.8,1.5
Leo Román,Mallorca,0,0
Vinícius Júnior,Real Madrid,3.1,1.8
Rodrygo,Real Madrid,1.9,0.9
Memphis Depay,Barcelona,3.5,2
Pedri,Barcelona,1.2,1.2
Joselu,Espanyol,2.5,1.3
Frenkie de Jong,Barcelona,0.7,0.7
Gerónimo Rulli,Villarreal,0,0
Ousmane Dembélé,Barcelona,1.1,0.7
Mikel Merino,Real Sociedad,1.5,1.1
Gonzalo Escalante,Cadiz,1,0.6
Lee Kang-In,Mallorca,1.9,1.2
Federico Valverde,Real Madrid,0.6,0.2
Sergi Darder,Espanyol,1.1,0.7
Enes Ünal,Getafe,2.5,1.4
Juan Foyth,Villarreal,0.9,0.6
Isi Palazón,Rayo Vallecano,2.1,1.8
Raphinha,Barcelona,1.5,0.7
Toni Kroos,Real Madrid,0.3,0.4
Aleix García,Girona,0.6,0.4
Aurélien Tchouaméni,Real Madrid,0.7,0.4
David Gil,Cadiz,0,0
Conan Ledesma,Cadiz,0,0
Éder Militão,Real Madrid,0.5,0.2
Vedat Muriqi,Mallorca,2.3,1.3
Sergio Busquets,Barcelona,0.6,0.4
Takefusa Kubo,Real Sociedad,2.6,1.2
Guido Rodríguez,Real Betis,0.5,0.6
José Gayà,Valencia,0.6,0.4
Javi Galán,Celta Vigo,1.7,1.1
Jules Koundé,Barcelona,0.8,0.6
José Giménez,Atletico Madrid,0.3,0
Dani Parejo,Villarreal,0.8,0.9
Marco Asensio,Real Madrid,0.6,0.4
Thibaut Courtois,Real Madrid,0.1,0
Gerard Moreno,Villarreal,1.5,0.9
Brais Méndez,Real Sociedad,1.4,0.9
Loïc Badé,Sevilla,0.3,0.1
Iago Aspas,Celta Vigo,1.4,1.2
Viktor Tsygankov,Girona,0.8,0.8
Ronald Araujo,Barcelona,0.4,0.3
Yeremy Pino,Villarreal,1.6,1.1
Lucas Robertone,Almeria,1.2,0.5
Reinildo,Atletico Madrid,0.9,0.4
Félix Garreta,Real Betis,0,0
Alejandro Balde,Barcelona,1.2,0.7
Nico Williams,Athletic Club,2.4,1.3
Samuel Chukwueze,Villarreal,1.8,0.8
Claudio Bravo,Real Betis,0,0
Antonio Raíllo,Mallorca,0.3,0.1
Nicolas Jackson,Villarreal,2.1,1.5
Ayoze Pérez,Real Betis,2.1,1.4
Marc-André ter Stegen,Barcelona,0,0
Yannick Carrasco,Atletico Madrid,1.5,1
Umar Sadiq,Almeria,2.3,3.7
Alexander Sørloth,Real Sociedad,2.5,1.8
David Silva,Real Sociedad,1.3,0.9
Álvaro Morata,Atletico Madrid,1.5,0.7
Gerard Piqué,Barcelona,0.3,0.1
Aitor Fernández,Osasuna,0,0
André Almeida,Valencia,1.2,1.4
David Soria,Getafe,0,0
Gavi,Barcelona,1.6,0.9
Álex Moreno,Real Betis,1.9,0.4
Iñaki Williams,Athletic Club,2,1.2
Jordi Masip,Real Valladolid,0,0
Giovani Lo Celso,Villarreal,1.4,1
Jordi Alba,Barcelona,0.3,0.3
Andreas Christensen,Barcelona,0.4,0
Álvaro García,Rayo Vallecano,1.5,0.5
Gabri Veiga,Celta Vigo,1.8,0.6
Iñigo Martínez,Athletic Club,0.3,0.1
Samuel Lino,Valencia,2.2,1.5
Juan Miranda,Real Betis,0.8,0.4
Marcos Llorente,Atletico Madrid,1,0.5
Rodrigo De Paul,Atletico Madrid,1.1,0.5
Pau Torres,Villarreal,0.6,0.1
Adri Embarba,Almeria,1.7,1.1
Anuar Tuhami,Real Valladolid,2.3,1.3
Yuri Berchiche,Athletic Club,0.8,0.5
Yeray Álvarez,Athletic Club,0.3,0
Nahuel Molina,Atletico Madrid,1,0.3
Lucas Boyé,Elche,4,2.4
Iza Carcelén,Cadiz,0.7,0.7
Selim Amallah,Real Valladolid,0.9,1.4
Eduardo Camavinga,Real Madrid,1.1,0.8
Youssouf Sabaly,Real Betis,1.1,1.1
Pablo Maffeo,Mallorca,1.8,1
Marcos Acuña,Sevilla,1,0.7
Javi Guerra,Valencia,0.8,2
Pape Gueye,Sevilla,1.2,0.7
Santi Comesaña,Rayo Vallecano,1.1,1
David García,Osasuna,0.3,0.1
Robin Le Normand,Real Sociedad,0.2,0.3
Dominik Greif,Mallorca,0,0
Ivo Grbic,Atletico Madrid,0,0
David López,Girona,0.4,0.1
Gonzalo Plata,Real Valladolid,2,1.1
Diego Rico,Real Sociedad,1.2,0.5
Alexander Isak,Real Sociedad,1.5,1
Dani Ceballos,Real Madrid,0.6,0.9
Gerard Gumbau,Elche,0.8,0.3
Alex Berenguer,Athletic Club,1.7,1.1
Copete,Mallorca,0.4,0.2
Omar Alderete,Getafe,0.6,0.3
Arnau Martínez,Girona,1.1,0.5
Diego López,Valencia,1.3,0.6
Germán Pezzella,Real Betis,0.4,0
Unai Núñez,Celta Vigo,0.5,0.1
Edgar Badia,Elche,0.1,0
Fernando Pacheco,Espanyol,0,0
Iker Muniain,Athletic Club,1,1
Alfonso Espino,Cadiz,1.4,0.6
Oihan Sancet,Athletic Club,2.3,1.7
Mario Hermoso,Atletico Madrid,0.8,0.3
João Félix,Atletico Madrid,1.4,0.9
William Carvalho,Real Betis,0.7,0.8
Adri Embarba,Espanyol,2,0
Koke,Atletico Madrid,0.6,0.5
Fran García,Rayo Vallecano,1.2,0.3
Étienne Capoue,Villarreal,0.9,0.5
Sergio Canales,Real Betis,1.8,1.3
Stefan Savic,Atletico Madrid,0.1,0.1
Cyle Larin,Real Valladolid,3.4,1.9
Lucas Torró,Osasuna,0.9,0.4
Lucas Ocampos,Sevilla,2.1,0.9
Álex Remiro,Real Sociedad,0.1,0
Carlos García,Cadiz,0,0
Valentín Castellanos,Girona,1.3,0.6
Moi Gómez,Osasuna,1,0.5
Martín Zubimendi,Real Sociedad,0.6,0.5
Héctor Bellerín,Barcelona,0.3,0
Oriol Romeu,Girona,0.8,0.8
Lucas Vázquez,Real Madrid,0.9,0.3
Eray Cömert,Valencia,0,0
Rui Silva,Real Betis,0,0
El Bilal Touré,Almeria,2.1,0.4
Ante Budimir,Osasuna,2,0.9
Paulo Gazzaniga,Girona,0.1,0.1
Predrag Rajkovic,Mallorca,0.1,0
Luis Suárez,Almeria,2,1.2
Nabil Fekir,Real Betis,2.3,1.5
Sergio Escudero,Real Valladolid,0.6,0.3
Aitor Ruibal,Real Betis,0.9,0.5
Vinicius Souza,Espanyol,0.9,0.4
Thierry Correia,Valencia,1.3,0.4
Rubén Sobrino,Cadiz,1.7,1.3
Jan Oblak,Atletico Madrid,0,0
Omar Mascarell,Elche,0.5,0.4
Nemanja Gudelj,Sevilla,0.4,0.1
Íñigo Ruíz de Galarreta,Mallorca,0.5,0.5
Suso,Sevilla,0.7,0.8
Marko Dmitrovic,Sevilla,0.1,0
Justin Kluivert,Valencia,1.5,0.8
Óscar De Marcos,Athletic Club,0.7,0.5
Fernando Martínez,Almeria,0,0
Aridane Hernández,Osasuna,0.3,0.1
Alfonso Pedraza,Villarreal,1.2,0.5
Abde Ezzalzouli,Osasuna,2.3,1.4
Raúl Albiol,Villarreal,0.4,0.2
Luka Modric,Real Madrid,0.9,0.6
Luiz Felipe,Real Betis,0.4,0
Sergi Roberto,Barcelona,0.4,0.1
Mouctar Diakhaby,Valencia,0.5,0.1
Joseph Aidoo,Celta Vigo,0.3,0.3
Igor Zubeldia,Real Sociedad,0.2,0
Luiz Henrique,Real Betis,1.8,1.8
Ander Barrenetxea,Real Sociedad,1.6,0.8
Hugo Mallo,Celta Vigo,0.7,0.3
Óscar Trejo,Rayo Vallecano,1.9,2.7
Chris Ramos,Cadiz,1.6,0.2
Thomas Lemar,Atletico Madrid,0.7,0.7
Mikel Vesga,Athletic Club,1.1,0.4
Carlos Clerc,Elche,0.9,0.3
Borja Iglesias,Real Betis,2.3,1.1
Aimar Oroz,Osasuna,1.4,1.6
Rodrigo Riquelme,Girona,1.8,0.9
Luis Milla,Getafe,0.7,0.4
Martin Valjent,Mallorca,0.2,0
Memphis Depay,Atletico Madrid,2,1.1
Carlos Soler,Valencia,0.7,0.3
Nacho,Real Madrid,0.6,0.3
Federico Fernández,Elche,1,0
Álex Collado,Elche,1.1,0.6
Eric García,Barcelona,0.4,0.1
Aihen Muñoz,Real Sociedad,1.1,0.8
Cenk Özkacar,Valencia,0.5,0.2
Manu Morlanes,Mallorca,0.5,0.3
Kike Barja,Osasuna,1.6,0.9
Álvaro Aceves,Real Valladolid,0,0
Léo Baptistão,Almeria,2,0.6
Alejandro Catena,Rayo Vallecano,0.3,0.2
Aïssa Mandi,Villarreal,0.1,0.1
Brian Oliván,Espanyol,0.8,0.2
César Montes,Espanyol,0.3,0.2
Dani Rodríguez,Mallorca,1.3,1.1
José Gragera,Espanyol,0.1,0.1
Umar Sadiq,Real Sociedad,3,1
Carles Pérez,Celta Vigo,1.6,0.8
Jawad El Yamiq,Real Valladolid,0.6,0.2
Théo Bongonda,Cadiz,1.8,0.8
Óscar Valentín,Rayo Vallecano,0.6,0.4
Álex Baena,Villarreal,1.2,1
