player_name,team_name,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves
Antoine Griezmann,Atletico Madrid,0,0,0,0
Karim Benzema,Real Madrid,0,0,0,0
Robert Lewandowski,Barcelona,0,0,0,0
Leo Román,Mallorca,4,0,1,3
Vinícius Júnior,Real Madrid,0,0,0,0
Rodrygo,Real Madrid,0,0,0,0
Memphis Depay,Barcelona,0,0,0,0
Pedri,Barcelona,0,0,0,0
Joselu,Espanyol,0,0,0,0
Frenkie de Jong,Barcelona,0,0,0,0
Gerónimo Rulli,Villarreal,3.3,0.1,2.4,0.7
Ousmane Dembélé,Barcelona,0,0,0,0
Mikel Merino,Real Sociedad,0,0,0,0
Gonzalo Escalante,Cadiz,0,0,0,0
Lee Kang-In,Mallorca,0,0,0,0
Federico Valverde,Real Madrid,0,0,0,0
Sergi Darder,Espanyol,0,0,0,0
Enes Ünal,Getafe,0,0,0,0
Juan Foyth,Villarreal,0,0,0,0
Isi Palazón,Rayo Vallecano,0,0,0,0
Raphinha,Barcelona,0,0,0,0
Toni Kroos,Real Madrid,0,0,0,0
Aleix García,Girona,0,0,0,0
Aurélien Tchouaméni,Real Madrid,0,0,0,0
David Gil,Cadiz,4.5,0.3,2.8,1.5
Conan Ledesma,Cadiz,3.9,0.2,2.4,1.3
Éder Militão,Real Madrid,0,0,0,0
Vedat Muriqi,Mallorca,0,0,0,0
Sergio Busquets,Barcelona,0,0,0,0
Takefusa Kubo,Real Sociedad,0,0,0,0
Guido Rodríguez,Real Betis,0,0,0,0
José Gayà,Valencia,0,0,0,0
Javi Galán,Celta Vigo,0,0,0,0
Jules Koundé,Barcelona,0,0,0,0
José Giménez,Atletico Madrid,0,0,0,0
Dani Parejo,Villarreal,0,0,0,0
Marco Asensio,Real Madrid,0,0,0,0
Thibaut Courtois,Real Madrid,2.9,0.2,1.4,1.3
Gerard Moreno,Villarreal,0,0,0,0
Brais Méndez,Real Sociedad,0,0,0,0
Loïc Badé,Sevilla,0,0,0,0
Iago Aspas,Celta Vigo,0,0,0,0
Viktor Tsygankov,Girona,0,0,0,0
Ronald Araujo,Barcelona,0,0,0,0
Yeremy Pino,Villarreal,0,0,0,0
Lucas Robertone,Almeria,0,0,0,0
Reinildo,Atletico Madrid,0,0,0,0
Félix Garreta,Real Betis,0,0,0,0
Alejandro Balde,Barcelona,0,0,0,0
Nico Williams,Athletic Club,0,0,0,0
Samuel Chukwueze,Villarreal,0,0,0,0
Claudio Bravo,Real Betis,2.8,0.3,1.9,0.6
Antonio Raíllo,Mallorca,0,0,0,0
Nicolas Jackson,Villarreal,0,0,0,0
Ayoze Pérez,Real Betis,0,0,0,0
Marc-André ter Stegen,Barcelona,2.2,0.1,1.5,0.6
Yannick Carrasco,Atletico Madrid,0,0,0,0
Umar Sadiq,Almeria,0,0,0,0
Alexander Sørloth,Real Sociedad,0,0,0,0
David Silva,Real Sociedad,0,0,0,0
Álvaro Morata,Atletico Madrid,0,0,0,0
Gerard Piqué,Barcelona,0,0,0,0
Aitor Fernández,Osasuna,2.8,0.2,1.6,1
André Almeida,Valencia,0,0,0,0
David Soria,Getafe,3.2,0.2,1.7,1.3
Gavi,Barcelona,0,0,0,0
Álex Moreno,Real Betis,0,0,0,0
Iñaki Williams,Athletic Club,0,0,0,0
Jordi Masip,Real Valladolid,3.7,0.3,2.1,1.3
Giovani Lo Celso,Villarreal,0,0,0,0
Jordi Alba,Barcelona,0,0,0,0
Andreas Christensen,Barcelona,0,0,0,0
Álvaro García,Rayo Vallecano,0,0,0,0
Gabri Veiga,Celta Vigo,0,0,0,0
Iñigo Martínez,Athletic Club,0,0,0,0
Samuel Lino,Valencia,0,0,0,0
Juan Miranda,Real Betis,0,0,0,0
Marcos Llorente,Atletico Madrid,0,0,0,0
Rodrigo De Paul,Atletico Madrid,0,0,0,0
Pau Torres,Villarreal,0,0,0,0
Adri Embarba,Almeria,0,0,0,0
Anuar Tuhami,Real Valladolid,0,0,0,0
Yuri Berchiche,Athletic Club,0,0,0,0
Yeray Álvarez,Athletic Club,0,0,0,0
Nahuel Molina,Atletico Madrid,0,0,0,0
Lucas Boyé,Elche,0,0,0,0
Iza Carcelén,Cadiz,0,0,0,0
Selim Amallah,Real Valladolid,0,0,0,0
Eduardo Camavinga,Real Madrid,0,0,0,0
Youssouf Sabaly,Real Betis,0,0,0,0
Pablo Maffeo,Mallorca,0,0,0,0
Marcos Acuña,Sevilla,0,0,0,0
Javi Guerra,Valencia,0,0,0,0
Pape Gueye,Sevilla,0,0,0,0
Santi Comesaña,Rayo Vallecano,0,0,0,0
David García,Osasuna,0,0,0,0
Robin Le Normand,Real Sociedad,0,0,0,0
Dominik Greif,Mallorca,5,0,4,1
Ivo Grbic,Atletico Madrid,2.8,0.3,1.7,0.8
David López,Girona,0,0,0,0
Gonzalo Plata,Real Valladolid,0,0,0,0
Diego Rico,Real Sociedad,0,0,0,0
Alexander Isak,Real Sociedad,0,0,0,0
Dani Ceballos,Real Madrid,0,0,0,0
Gerard Gumbau,Elche,0,0,0,0
Alex Berenguer,Athletic Club,0,0,0,0
Copete,Mallorca,0,0,0,0
Omar Alderete,Getafe,0,0,0,0
Arnau Martínez,Girona,0,0,0,0
