player_name,team_name,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots
Antoine Griezmann,Atletico Madrid,2.9,1,0.2,1.7
Karim Benzema,Real Madrid,4.5,1.1,0.4,3
Robert Lewandowski,Barcelona,4,0.8,0.5,2.6
Leo Román,Mallorca,0,0,0,0
Vinícius Júnior,Real Madrid,2.3,0.6,0.1,1.6
Rodrygo,Real Madrid,2.9,1,0.3,1.6
Memphis Depay,Barcelona,3,0.5,0,2.5
Pedri,Barcelona,0.8,0.3,0.1,0.4
Joselu,Espanyol,2.7,0.5,0.2,2
Frenkie de Jong,Barcelona,0.5,0.3,0,0.2
Gerónimo Rulli,Villarreal,0,0,0,0
Ousmane Dembélé,Barcelona,2,0.5,0.1,1.4
Mikel Merino,Real Sociedad,1.3,0.5,0,0.8
Gonzalo Escalante,Cadiz,1,0.1,0.2,0.6
Lee Kang-In,Mallorca,1.3,0.6,0.1,0.6
Federico Valverde,Real Madrid,1.9,1.2,0.1,0.6
Sergi Darder,Espanyol,1,0.7,0.1,0.2
Enes Ünal,Getafe,2.5,0.7,0.1,1.7
Juan Foyth,Villarreal,0.6,0.1,0.1,0.4
Isi Palazón,Rayo Vallecano,2.5,1.6,0.1,0.9
Raphinha,Barcelona,2.2,0.9,0.2,1.1
Toni Kroos,Real Madrid,1,0.9,0,0.2
Aleix García,Girona,1.1,0.7,0,0.4
Aurélien Tchouaméni,Real Madrid,1.2,0.7,0,0.5
David Gil,Cadiz,0,0,0,0
Conan Ledesma,Cadiz,0,0,0,0
Éder Militão,Real Madrid,0.7,0.1,0.1,0.4
Vedat Muriqi,Mallorca,2.2,0.3,0.1,1.7
Sergio Busquets,Barcelona,0.3,0.2,0,0.1
Takefusa Kubo,Real Sociedad,2.1,0.7,0,1.4
Guido Rodríguez,Real Betis,0.6,0.5,0.1,0.1
José Gayà,Valencia,0.7,0.4,0,0.4
Javi Galán,Celta Vigo,0.4,0.2,0,0.2
Jules Koundé,Barcelona,0.5,0.1,0,0.4
José Giménez,Atletico Madrid,0.8,0.1,0.1,0.6
Dani Parejo,Villarreal,0.8,0.6,0,0.2
Marco Asensio,Real Madrid,1.9,1.1,0,0.8
Thibaut Courtois,Real Madrid,0,0,0,0
Gerard Moreno,Villarreal,2,0.4,0.2,1.4
Brais Méndez,Real Sociedad,1.8,1.1,0.1,0.6
Loïc Badé,Sevilla,0.2,0,0.1,0.2
Iago Aspas,Celta Vigo,2.1,0.9,0.2,1
Viktor Tsygankov,Girona,1,0.4,0.1,0.5
Ronald Araujo,Barcelona,0.8,0.2,0.2,0.4
Yeremy Pino,Villarreal,1.4,0.1,0.2,1
Lucas Robertone,Almeria,1,0.7,0,0.2
Reinildo,Atletico Madrid,0.3,0.2,0,0
Félix Garreta,Real Betis,0,0,0,0
