player_name,team_name,TotalTackles,DribbledPast,TotalAttemptedTackles
Antoine Griezmann,Atletico Madrid,1.3,1.2,2.5
Karim Benzema,Real Madrid,0.4,0.4,0.8
Robert Lewandowski,Barcelona,0.5,0.2,0.7
Leo Román,Mallorca,0,0,0
Vinícius Júnior,Real Madrid,0.9,0.8,1.7
Rodrygo,Real Madrid,0.5,0.6,1.1
Memphis Depay,Barcelona,0.5,0.5,1
Pedri,Barcelona,1.5,1.2,2.7
Joselu,Espanyol,0.4,0.4,0.8
Frenkie de Jong,Barcelona,1.4,0.7,2.1
Gerónimo Rulli,Villarreal,0,0,0
Ousmane Dembélé,Barcelona,0.8,0.4,1.2
Mikel Merino,Real Sociedad,2.3,0.9,3.3
Gonzalo Escalante,Cadiz,2.6,1,3.6
Lee Kang-In,Mallorca,1.2,1.2,2.4
Federico Valverde,Real Madrid,0.9,0.4,1.3
Sergi Darder,Espanyol,1.8,1.2,3
Enes Ünal,Getafe,0.7,0.5,1.3
Juan Foyth,Villarreal,3,0.7,3.7
Isi Palazón,Rayo Vallecano,1.2,1.1,2.4
Raphinha,Barcelona,0.8,0.6,1.4
Toni Kroos,Real Madrid,1.7,1.5,3.2
Aleix García,Girona,1.2,0.6,1.8
Aurélien Tchouaméni,Real Madrid,1.9,0.5,2.4
David Gil,Cadiz,0,0,0
Conan Ledesma,Cadiz,0.1,0.1,0.2
Éder Militão,Real Madrid,1.4,0.2,1.6
Vedat Muriqi,Mallorca,0.3,0.3,0.6
Sergio Busquets,Barcelona,1.9,0.7,2.7
Takefusa Kubo,Real Sociedad,1.3,0.6,1.9
Guido Rodríguez,Real Betis,3.4,1.4,4.8
José Gayà,Valencia,2.6,1,3.6
Javi Galán,Celta Vigo,2.8,1.4,4.2
Jules Koundé,Barcelona,1.3,0.3,1.6
José Giménez,Atletico Madrid,1.5,0.4,1.9
Dani Parejo,Villarreal,1.9,1.2,3.1
Marco Asensio,Real Madrid,0.5,0.4,0.9
Thibaut Courtois,Real Madrid,0,0,0
Gerard Moreno,Villarreal,0.5,0.1,0.7
Brais Méndez,Real Sociedad,1.7,1.2,2.9
Loïc Badé,Sevilla,1.4,0.7,2.1
Iago Aspas,Celta Vigo,0.2,0.5,0.7
Viktor Tsygankov,Girona,0.4,0.7,1.1
Ronald Araujo,Barcelona,1.2,0.1,1.3
Yeremy Pino,Villarreal,1.7,1,2.7
Lucas Robertone,Almeria,1.4,1,2.4
Reinildo,Atletico Madrid,3,0.5,3.5
Félix Garreta,Real Betis,1,0,1
Alejandro Balde,Barcelona,1.3,0.5,1.8
Nico Williams,Athletic Club,0.9,0.6,1.5
