player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Dribbles allowed,Blocks,OwnGoal,Key_pass_per_game,Dribble,Foul_given_game,Offside_given_per_game,Dispossessed_per_game,Unsuccessful touches,Average_per_pass,Crosses_per_game,Longpass_per_game,Through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot,position_1,position_2,position_3,position_4,position_5,position_6
Antoine Griezmann,Atletico Madrid,33,"CAM, LAM, RAM, FW",31(7),2863,15,16,2,0,2.9,82.4,0.7,13,7.69,1.3,0.6,0.6,0.0,0.8,1.2,0.1,0,2.2,1.2,1.1,0.3,0.9,1.1,38.3,0.8,1.8,0.2,11.26,3.74,0.35,111.0,0.1,CAM, LAM, RAM, FW,,
Karim Benzema,Real Madrid,36,FW,24,2044,19,3,1,0,4.5,87.0,0.6,6,7.53,0.4,0.1,0.4,0.0,0.2,0.4,0.0,0,2.0,0.8,0.3,0.9,1.2,1.3,44.0,0.0,0.6,0.3,22.58,-3.58,0.99,107.0,0.21,FW,,,,,
Robert Lewandowski,Barcelona,35,FW,33(1),2852,23,7,2,1,4.0,78.1,1.5,7,7.49,0.5,0.1,1.1,0.1,0.4,0.2,0.0,0,1.1,0.9,1.4,0.6,1.5,2.8,22.4,0.2,0.7,0.2,25.69,-2.69,0.81,135.0,0.19,FW,,,,,
Leo Román,Mallorca,23,GK,1,90,0,0,0,0,0.0,66.7,0.0,0,7.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,10.0,0.0,,,,,,GK,,,,,
Vinícius Júnior,Real Madrid,23,"LAM, FW",32(1),2833,10,9,10,1,2.3,80.6,0.1,4,7.35,0.9,0.2,1.4,0.0,0.0,0.8,0.0,0,1.9,3.4,3.7,0.7,1.8,3.1,32.1,0.2,0.9,0.1,11.26,-1.26,0.36,77.0,0.15,LAM, FW,,,,
Rodrygo,Real Madrid,23,"CAM, LAM, RAM, FW",25(9),2382,9,8,4,0,2.9,89.6,0.4,4,7.26,0.5,0.2,0.5,0.0,0.1,0.6,0.0,0,1.4,2.4,1.4,0.3,0.9,1.9,29.7,0.2,0.5,0.0,14.83,-5.83,0.56,98.0,0.15,CAM, LAM, RAM, FW,,
Memphis Depay,Barcelona,30,"CAM, LAM, FW",2,116,1,0,0,0,3.0,83.9,0.5,0,7.23,0.5,0.0,1.0,0.0,0.0,0.5,0.0,0,1.5,1.5,1.0,0.5,2.0,3.5,31.0,0.5,1.0,0.0,1.0,0.0,0.78,6.0,0.17,CAM, LAM, FW,,,
Pedri,Barcelona,21,"CAM, LAM",22(4),1983,6,1,2,0,0.8,87.6,0.1,4,7.2,1.5,0.5,0.3,0.0,0.3,1.2,0.0,0,1.7,1.4,1.7,0.2,1.2,1.2,54.1,0.3,4.3,0.4,4.93,1.07,0.22,22.0,0.22,CAM, LAM,,,,
Joselu,Espanyol,34,FW,33(1),2989,16,2,3,0,2.7,61.0,5.1,5,7.15,0.4,0.2,0.7,0.0,1.2,0.4,0.1,0,0.6,0.5,2.1,0.8,1.3,2.5,21.7,0.2,0.4,0.0,15.69,0.31,0.47,92.0,0.17,FW,,,,,
Frenkie de Jong,Barcelona,26,"CB, CDM",29(4),2539,2,4,3,0,0.5,91.4,1.0,4,7.15,1.4,1.1,1.0,0.1,0.6,0.7,0.0,0,1.4,1.1,1.0,0.0,0.7,0.7,68.4,0.3,3.0,0.4,2.4,-0.4,0.09,18.0,0.13,CB, CDM,,,,
Gerónimo Rulli,Villarreal,31,GK,14,1260,0,0,1,0,0.0,83.7,0.2,2,7.14,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0,0.0,0.0,0.1,0.0,0.0,0.0,33.8,0.0,5.0,0.0,,,,,,GK,,,,,
Ousmane Dembélé,Barcelona,26,"CAM, LAM, RAM, FW",16(9),1416,5,7,4,0,2.0,83.4,0.2,3,7.14,0.8,0.0,0.6,0.0,0.0,0.4,0.0,0,1.6,2.1,0.8,0.2,0.7,1.1,29.4,0.9,0.9,0.2,5.1,-0.1,0.32,49.0,0.1,CAM, LAM, RAM, FW,,
Mikel Merino,Real Sociedad,27,CM,28(5),2500,2,9,6,1,1.3,77.6,3.4,7,7.13,2.3,0.6,2.2,0.0,1.5,0.9,0.2,0,1.3,0.7,1.5,0.1,1.1,1.5,44.3,0.2,2.0,0.2,4.49,-2.49,0.16,42.0,0.11,CM,,,,,
Gonzalo Escalante,Cadiz,31,CDM,13(1),1126,4,1,4,0,1.0,75.8,1.9,2,7.1,2.6,1.2,1.0,0.0,1.7,1.0,0.3,0,0.7,0.5,1.2,0.0,0.6,1.0,30.4,0.1,1.1,0.1,3.27,0.73,0.26,14.0,0.23,CDM,,,,,
Lee Kang-In,Mallorca,23,"CM, LM, RM, FW",33(3),2841,6,6,10,0,1.3,80.3,0.6,6,7.09,1.2,0.3,1.4,0.0,0.1,1.2,0.1,0,1.5,2.5,1.7,0.1,1.2,1.9,24.4,1.6,0.9,0.1,4.6,1.4,0.15,46.0,0.1,CM, LM, RM, FW,,
Federico Valverde,Real Madrid,25,"CM, LM, RM",29(5),2509,7,4,2,0,1.9,88.4,0.9,4,7.08,0.9,0.5,0.3,0.0,0.4,0.4,0.1,0,1.3,0.9,0.4,0.1,0.2,0.6,46.8,0.2,1.7,0.0,3.94,3.06,0.14,63.0,0.06,CM, LM, RM,,,
Sergi Darder,Espanyol,30,"CM, LM, RM",38,3325,6,3,4,0,1.0,78.5,0.3,5,7.08,1.8,0.6,0.8,0.0,0.6,1.2,0.1,0,1.9,1.8,2.1,0.1,0.7,1.1,37.5,1.3,2.5,0.1,3.31,2.69,0.09,39.0,0.08,CM, LM, RM,,,
Enes Ünal,Getafe,26,FW,35,2986,14,3,6,0,2.5,60.9,4.6,5,7.07,0.7,0.2,1.7,0.1,1.0,0.5,0.1,0,0.8,0.6,2.2,0.8,1.4,2.5,20.7,0.1,0.2,0.1,11.56,2.44,0.35,88.0,0.13,FW,,,,,
Juan Foyth,Villarreal,26,"CB, RB, CDM",22(2),1960,1,0,6,0,0.6,87.8,1.5,1,7.06,3.0,0.8,1.7,0.4,2.4,0.7,0.5,0,0.5,1.1,0.4,0.0,0.6,0.9,45.4,0.2,2.9,0.0,1.38,-0.38,0.06,14.0,0.1,CB, RB, CDM,,,
Isi Palazón,Rayo Vallecano,29,"CAM, RAM",36(1),2990,9,5,4,0,2.5,78.9,0.8,3,7.05,1.2,0.5,1.0,0.0,0.7,1.1,0.1,0,1.8,1.4,2.8,0.2,1.8,2.1,31.4,1.5,1.4,0.1,7.86,1.14,0.24,94.0,0.08,CAM, RAM,,,,
Raphinha,Barcelona,27,"LAM, RAM, FW",25(11),2087,7,7,8,0,2.2,79.9,0.4,6,7.04,0.8,0.4,0.6,0.0,0.3,0.6,0.0,0,1.6,1.3,1.0,0.4,0.7,1.5,29.0,1.2,1.7,0.2,8.74,-1.74,0.38,79.0,0.11,LAM, RAM, FW,,,
Toni Kroos,Real Madrid,34,CM,25(5),2164,2,4,0,1,1.0,94.6,0.2,1,7.04,1.7,0.8,0.9,0.0,0.2,1.5,0.1,0,1.8,0.3,1.2,0.0,0.4,0.3,77.7,1.1,6.8,0.1,1.1,0.9,0.05,31.0,0.04,CM,,,,,
Aleix García,Girona,26,CDM,26(4),2341,1,5,1,0,1.1,88.9,0.4,2,7.04,1.2,1.0,0.5,0.0,0.9,0.6,0.3,0,2.1,0.4,1.0,0.0,0.4,0.6,48.4,2.2,3.3,0.1,1.56,-0.56,0.06,32.0,0.05,CDM,,,,,
Aurélien Tchouaméni,Real Madrid,24,"CB, CDM",24(9),2120,0,4,2,0,1.2,93.5,1.5,2,7.04,1.9,1.5,1.1,0.1,1.5,0.5,0.2,0,0.7,0.8,1.1,0.0,0.4,0.7,51.1,0.0,1.2,0.1,1.97,-1.97,0.08,38.0,0.05,CB, CDM,,,,
David Gil,Cadiz,30,GK,4,360,0,0,0,0,0.0,44.7,0.0,0,7.04,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,0.0,8.3,0.0,,,,,,GK,,,,,
Conan Ledesma,Cadiz,31,GK,34,3060,0,0,2,0,0.0,46.8,0.3,5,7.03,0.1,0.1,0.0,0.0,1.5,0.1,0.0,0,0.0,0.1,0.2,0.0,0.0,0.0,28.6,0.0,7.5,0.0,0.05,-0.05,0.0,1.0,0.05,GK,,,,,
Éder Militão,Real Madrid,26,"CB, RB",30(3),2703,5,0,4,0,0.7,88.7,1.9,2,7.03,1.4,1.3,1.1,0.5,3.0,0.2,1.2,0,0.2,0.3,1.2,0.0,0.2,0.5,55.8,0.1,3.4,0.0,3.53,1.47,0.12,22.0,0.16,CB, RB,,,,
Vedat Muriqi,Mallorca,30,FW,34(1),2953,15,3,6,1,2.2,57.8,5.7,4,7.01,0.3,0.3,1.7,0.0,2.1,0.3,0.2,0,0.6,0.3,1.1,0.8,1.3,2.3,23.3,0.0,0.4,0.0,13.52,1.48,0.41,76.0,0.18,FW,,,,,
