Name,Team,Position,Date of Birth,Age,Nationality,Market Value
Thibaut Courtois,Real Madrid,Goalkeeper,"May 11, 1992",31,Belgium,€45.00m
Andriy Lunin,Real Madrid,Goalkeeper,"Feb 11, 1999",24,Ukraine,€5.00m
Mario de Luis,Real Madrid,Goalkeeper,"May 6, 2002",21,Spain,€500k
Luis López,Real Madrid,Goalkeeper,"May 8, 2001",22,Spain,€300k
Lucas Cañizares,Real Madrid,Goalkeeper,"May 10, 2002",21,Spain,€200k
Diego Piñeiro,Real Madrid,Goalkeeper,"Feb 13, 2004",19,Spain,-
Fran González,Real Madrid,Goalkeeper,"Jun 24, 2005",18,Spain,-
Éder Militão,Real Madrid,Centre-Back,"Jan 18, 1998",25,Brazil,€70.00m
David Alaba,Real Madrid,Centre-Back,"Jun 24, 1992",31,Austria,€40.00m
Antonio Rüdiger,Real Madrid,Centre-Back,"Mar 3, 1993",30,Germany,€32.00m
Nacho Fernández,Real Madrid,Centre-Back,"Jan 18, 1990",33,Spain,€6.00m
Jesús Vallejo,Real Madrid,Centre-Back,"Jan 5, 1997",26,Spain,€2.00m
Marvel,Real Madrid,Centre-Back,"Jan 7, 2003",20,Spain,€1.00m
Ferland Mendy,Real Madrid,Left-Back,"Jun 8, 1995",28,France,€25.00m
Daniel Carvajal,Real Madrid,Right-Back,"Jan 11, 1992",31,Spain,€12.00m
Lucas Vázquez,Real Madrid,Right-Back,"Jul 1, 1991",31,Spain,€8.00m
Álvaro Odriozola,Real Madrid,Right-Back,"Dec 14, 1995",27,Spain,€5.00m
Vinícius Tobias,Real Madrid,Right-Back,"Feb 23, 2004",19,Brazil,€3.00m
Aurélien Tchouaméni,Real Madrid,Defensive Midfield,"Jan 27, 2000",23,France,€85.00m
Casemiro,Real Madrid,Defensive Midfield,"Feb 23, 1992",31,Brazil,€40.00m
Mario Martín,Real Madrid,Defensive Midfield,"Mar 5, 2004",19,Spain,€250k
Federico Valverde,Real Madrid,Central Midfield,"Jul 22, 1998",24,Uruguay,€100.00m
Eduardo Camavinga,Real Madrid,Central Midfield,"Nov 10, 2002",20,France,€85.00m
Toni Kroos,Real Madrid,Central Midfield,"Jan 4, 1990",33,Germany,€15.00m
Dani Ceballos,Real Madrid,Central Midfield,"Aug 7, 1996",26,Spain,€12.00m
Luka Modric,Real Madrid,Central Midfield,"Sep 9, 1985",37,Croatia,€10.00m
Carlos Dotor,Real Madrid,Central Midfield,"Mar 15, 2001",22,Spain,€700k
