Club,Squad,Avg age,Foreigners,Avg market values,Total Market Values
Real Madrid,36,25.4,20,€25.65m,€923.45m
FC Barcelona,41,24.0,14,€20.41m,€836.80m
Atlético de Madrid,40,25.4,22,€13.36m,€534.30m
Real Sociedad,37,24.5,6,€11.94m,€441.70m
Villarreal CF,43,25.8,15,€8.45m,€363.50m
Valencia CF,40,24.0,18,€6.24m,€249.78m
Real Betis Balompié,38,27.1,13,€6.48m,€246.40m
Sevilla FC,42,26.3,23,€5.54m,€232.58m
Athletic Bilbao,31,26.6,1,€7.18m,€222.45m
CA Osasuna,31,26.7,4,€4.84m,€150.05m
Girona FC,37,25.1,13,€3.78m,€139.90m
Celta de Vigo,36,25.2,12,€3.86m,€139.10m
Getafe CF,34,26.0,14,€3.50m,€118.90m
RCD Espanyol Barcelona,36,25.5,10,€3.23m,€116.35m
UD Almería,36,25.4,18,€3.17m,€114.20m
RCD Mallorca,38,26.3,19,€2.82m,€107.00m
Rayo Vallecano,29,28.1,10,€3.57m,€103.40m
Real Valladolid CF,41,26.3,17,€2.21m,€90.75m
Elche CF,40,26.5,16,€1.69m,€67.50m
Cádiz CF,47,26.8,17,€1.40m,€65.60m
