,Unnamed: 0,player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Was_dribble,Blocks,OwnGoal,key_pass_per_game,dribble_won_per_game,foul_given_game,offside_given_per_game,dispossessed_per_game,turnover_per_game,average_per_pass,corsses_per_game,longpass_per_game,through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
0,0,Antoine Griezmann,,33," AM(CLR),FW",31(7),2863,15,16,2,0,2.9,82.4,0.7,13,7.69,1.3,0.6,0.6,0,0.8,1.2,0.1,0,2.2,1.2,1.1,0.3,0.9,1.1,38.3,0.8,1.8,0.2,11.26,3.74,0.35,111,0.1
1,1,Karim Benzema,,36, FW,24,2044,19,3,1,0,4.5,87.0,0.6,6,7.53,0.4,0.1,0.4,0,0.2,0.4,0,0,2,0.8,0.3,0.9,1.2,1.3,44,0,0.6,0.3,22.58,-3.58,0.99,107,0.21
2,2,Robert Lewandowski,,35, FW,33(1),2852,23,7,2,1,4.0,78.1,1.5,7,7.49,0.5,0.1,1.1,0.1,0.4,0.2,0,0,1.1,0.9,1.4,0.6,1.5,2.8,22.4,0.2,0.7,0.2,25.69,-2.69,0.81,135,0.19
3,3,Vinícius Júnior,,23," AM(L),FW",32(1),2833,10,9,10,1,2.3,80.6,0.1,4,7.35,0.9,0.2,1.4,0,0,0.8,0,0,1.9,3.4,3.7,0.7,1.8,3.1,32.1,0.2,0.9,0.1,11.26,-1.26,0.36,77,0.15
4,4,Rodrygo,,23," AM(CLR),FW",25(9),2382,9,8,4,0,2.9,89.6,0.4,4,7.26,0.5,0.2,0.5,0,0.1,0.6,0,0,1.4,2.4,1.4,0.3,0.9,1.9,29.7,0.2,0.5,0,14.83,-5.83,0.56,98,0.15
5,5,Pedri,,21, AM(CL),22(4),1983,6,1,2,0,0.8,87.6,0.1,4,7.2,1.5,0.5,0.3,0,0.3,1.2,0,0,1.7,1.4,1.7,0.2,1.2,1.2,54.1,0.3,4.3,0.4,4.93,1.07,0.22,22,0.22
6,6,Joselu,,34, FW,33(1),2989,16,2,3,0,2.7,61.0,5.1,5,7.15,0.4,0.2,0.7,0,1.2,0.4,0.1,0,0.6,0.5,2.1,0.8,1.3,2.5,21.7,0.2,0.4,0,15.69,0.31,0.47,92,0.17
7,7,Frenkie de Jong,,26," D(C),DMC",29(4),2539,2,4,3,0,0.5,91.4,1.0,4,7.15,1.4,1.1,1,0.1,0.6,0.7,0,0,1.4,1.1,1,0,0.7,0.7,68.4,0.3,3,0.4,2.4,-0.4,0.09,18,0.13
8,8,Ousmane Dembélé,,26," AM(CLR),FW",16(9),1416,5,7,4,0,2.0,83.4,0.2,3,7.14,0.8,0,0.6,0,0,0.4,0,0,1.6,2.1,0.8,0.2,0.7,1.1,29.4,0.9,0.9,0.2,5.1,-0.1,0.32,49,0.1
9,9,Mikel Merino,,27, M(C),28(5),2500,2,9,6,1,1.3,77.6,3.4,7,7.13,2.3,0.6,2.2,0,1.5,0.9,0.2,0,1.3,0.7,1.5,0.1,1.1,1.5,44.3,0.2,2,0.2,4.49,-2.49,0.16,42,0.11
