,team_name,P,W,D,L,GF,GA,GD,Pts,Goals,Shots pg,Yellow,Red,Poss%,Pass%,A_Won,Rating
0,Barcelona,38,28,4,6,70,20,+50,88,70,15.1,78,6,64.8,88.1,12.3,6.85
1,Real Madrid,38,24,6,8,75,36,+39,78,75,17,68,3,61.2,90.0,8.9,6.86
2,Atletico Madrid,38,23,8,7,70,33,+37,77,70,14.2,86,8,50.4,84.2,11.9,6.75
3,Real Sociedad,38,21,8,9,51,35,+16,71,51,12.3,91,2,54.6,81.9,17.6,6.65
4,Villarreal,38,19,7,12,59,40,+19,64,59,13.3,86,4,56.7,85.4,9.5,6.68
5,Real Betis,38,17,9,12,46,41,+5,60,46,11.1,77,15,50.5,82.4,12.1,6.63
6,Osasuna,38,15,8,15,37,42,-5,53,37,11.7,91,7,48.1,78.0,16.2,6.54
7,Athletic Club,38,14,9,15,47,43,+4,51,47,14.4,80,5,51.5,80.1,14.2,6.59
8,Mallorca,38,14,8,16,37,43,-6,50,37,8.7,121,5,40.4,75.5,17.8,6.56
9,Girona,38,13,10,15,58,55,+3,49,58,12,88,3,50.9,83.4,11.4,6.55
10,Rayo Vallecano,38,13,10,15,45,53,-8,49,45,13.6,87,6,50.8,78.8,11.5,6.51
11,Sevilla,38,13,10,15,47,54,-7,49,47,12.3,112,13,52.7,83.0,13.1,6.53
12,Celta Vigo,38,11,10,17,43,53,-10,43,43,12.4,80,6,50.1,81.8,12.1,6.56
13,Cadiz,38,10,12,16,30,53,-23,42,30,10.4,107,7,41.3,74.1,16.1,6.49
14,Getafe,38,10,12,16,34,45,-11,42,34,9.8,116,9,39.2,70.6,19,6.49
15,Valencia,38,11,9,18,42,45,-3,42,42,12.8,86,8,51.8,80.6,13,6.54
16,Almeria,38,11,8,19,49,65,-16,41,49,11.6,94,4,44.9,78.3,12.8,6.50
17,Real Valladolid,38,11,7,20,33,63,-30,40,33,11.8,89,6,48.5,79.1,12.5,6.50
18,Espanyol,38,8,13,17,52,69,-17,37,52,11.1,91,10,42.6,76.5,17.1,6.53
19,Elche,38,5,10,23,30,67,-37,25,30,10.7,93,12,44.9,79.1,12.8,6.44
