Name,Team,Position,Date of Birth,Age,Nationality,Market Value
Ederson,Manchester City,Goalkeeper,"Aug 17, 1993",29,Brazil,€40.00m
Stefan Ortega,Manchester City,Goalkeeper,"Nov 6, 1992",30,Germany,€9.00m
Zack Steffen,Manchester City,Goalkeeper,"Apr 2, 1995",28,United States,€3.50m
Scott Carson,Manchester City,Goalkeeper,"Sep 3, 1985",37,England,€200k
Rúben Dias,Manchester City,Centre-Back,"May 14, 1997",26,Portugal,€80.00m
Nathan Aké,Manchester City,Centre-Back,"Feb 18, 1995",28,Netherlands,€42.00m
John Stones,Manchester City,Centre-Back,"May 28, 1994",29,England,€40.00m
Manuel Akanji,Manchester City,Centre-Back,"Jul 19, 1995",27,Switzerland,€38.00m
Aymeric Laporte,Manchester City,Centre-Back,"May 27, 1994",29,Spain,€25.00m
Luke Mbete,Manchester City,Centre-Back,"Sep 18, 2003",19,England,€2.00m
Sergio Gómez,Manchester City,Left-Back,"Sep 4, 2000",22,Spain,€13.00m
Josh Wilson-Esbrand,Manchester City,Left-Back,"Dec 26, 2002",20,England,€1.50m
Benjamin Mendy,Manchester City,Left-Back,"Jul 17, 1994",28,France,-
João Cancelo,Manchester City,Right-Back,"May 27, 1994",29,Portugal,€50.00m
Rico Lewis,Manchester City,Right-Back,"Nov 21, 2004",18,England,€20.00m
Kyle Walker,Manchester City,Right-Back,"May 28, 1990",33,England,€13.00m
Rodri,Manchester City,Defensive Midfield,"Jun 22, 1996",27,Spain,€90.00m
Kalvin Phillips,Manchester City,Defensive Midfield,"Dec 2, 1995",27,England,€32.00m
Máximo Perrone,Manchester City,Defensive Midfield,"Jan 7, 2003",20,Argentina,€10.00m
Claudio Gomes,Manchester City,Defensive Midfield,"Jul 23, 2000",22,France,€1.40m
Shea Charles,Manchester City,Defensive Midfield,"Nov 5, 2003",19,Northern Ireland,-
İlkay Gündoğan,Manchester City,Central Midfield,"Oct 24, 1990",32,Germany,€20.00m
Bernardo Silva,Manchester City,Attacking Midfield,"Aug 10, 1994",28,Portugal,€80.00m
Kevin De Bruyne,Manchester City,Attacking Midfield,"Jun 28, 1991",32,Belgium,€70.00m
Cole Palmer,Manchester City,Attacking Midfield,"May 6, 2002",21,England,€15.00m
Alex Robertson,Manchester City,Attacking Midfield,"Apr 17, 2003",20,Australia,€50k
Nico O'Reilly,Manchester City,Attacking Midfield,"Mar 21, 2005",18,England,-
Jack Grealish,Manchester City,Left Winger,"Sep 10, 1995",27,England,€75.00m
Phil Foden,Manchester City,Right Winger,"May 28, 2000",23,England,€110.00m
Riyad Mahrez,Manchester City,Right Winger,"Feb 21, 1991",32,Algeria,€20.00m
Ben Knight,Manchester City,Right Winger,"Jun 14, 2002",21,England,€300k
Julián Álvarez,Manchester City,Second Striker,"Jan 31, 2000",23,Argentina,€60.00m
Erling Haaland,Manchester City,Centre-Forward,"Jul 21, 2000",22,Norway,€180.00m
Liam Delap,Manchester City,Centre-Forward,"Feb 8, 2003",20,England,€5.00m
Aaron Ramsdale,Arsenal FC,Goalkeeper,"May 14, 1998",25,England,€40.00m
Matt Turner,Arsenal FC,Goalkeeper,"Jun 24, 1994",29,United States,€8.00m
Karl Hein,Arsenal FC,Goalkeeper,"Apr 13, 2002",21,Estonia,€1.50m
James Hillson,Arsenal FC,Goalkeeper,"Jan 14, 2001",22,England,-
William Saliba,Arsenal FC,Centre-Back,"Mar 24, 2001",22,France,€65.00m
Gabriel Magalhães,Arsenal FC,Centre-Back,"Dec 19, 1997",25,Brazil,€55.00m
Auston Trusty,Arsenal FC,Centre-Back,"Aug 12, 1998",24,United States,€10.00m
