,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
0,㈜하이비젼시스템,딥러닝 엔지니어 경력직 채용,"경력5년↑,석사↑,정규직,,경기 성남시,~05/02(목)","딥러닝, 정밀광학, 이미지프로세싱",https://www.jobkorea.co.kr/Recruit/GI_Read/44371280?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=1
1,㈜닷밀,[닷밀] 인공지능/딥러닝 기반 문화콘텐츠 기술연구원 채용 [전문연구요원 가능],"경력무관,학력무관,정규직 외,,서울 마포구,~04/18(목)","딥러닝, 모니터링, 전기·전자, 인공지능, 정보통신·IT, 콘텐츠, 컨텐츠, R&D, IT, 소셜네트워크서비스(SNS), 연구, 인터랙티브, R&D, AI, 콘텐츠 제어",https://www.jobkorea.co.kr/Recruit/GI_Read/44261480?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=2
2,㈜코드랩이앤티,"IT프로그래밍(빅데이터/AI,머신러닝,딥러닝/파이썬/자바) / 멘토(훈련보조강사) 채용","경력무관,대졸↑,정규직 외,,서울 금천구,~05/09(목)","딥러닝, 음성인식, SI개발, 데이터시각화, 서버관리, 인공지능, BI, 데이터분석, 분석모델링, IT학원, 챗봇, 클라이언트, HTTP, 핀테크, 자연어처리(NLP)",https://www.jobkorea.co.kr/Recruit/GI_Read/44426091?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=3
3,케빈랩㈜,[케빈랩] 수치를 기반으로 한 딥러닝 알고리즘 개발 인재를 모십니다,"경력5년↑,대졸↑,정규직,,경기 안양시,~05/09(목)","딥러닝, 모바일앱개발, BigData, 솔루션, SI, 모델링, 소프트웨어개발",https://www.jobkorea.co.kr/Recruit/GI_Read/44422971?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=4
4,딥아이,[딥테크R&D] 데이터분석/머신러닝/딥러닝 연구원 및 개발자 모집,"경력무관,학력무관,정규직,,부산 기장군,~05/09(목)","딥러닝, 소프트웨어개발, 솔루션, 빅데이터, 데이터분석, 분석모델링, 모델링, 이미지프로세싱, 인공지능",https://www.jobkorea.co.kr/Recruit/GI_Read/44422525?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=5
5,㈜지브이랩,"머신 비전 프로그램 개발자 모집 (딥러닝, 이미지 프로세싱, 시스템 제어, C++ / 신입 및 경력)","경력1년↑,학력무관,정규직,,서울 금천구,~06/08(토)","딥러닝, 시스템분석, 이미지프로세싱, SI개발, 아키텍처, 시스템설계, 소프트웨어개발",https://www.jobkorea.co.kr/Recruit/GI_Read/44420803?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=6
6,딥브레인 AI,[딥브레인AI] 딥러닝 연구원 / 엔지니어 모집 (전문연구요원 가능),"신입·경력,석사↑,정규직,,서울 강남구,상시채용","딥러닝, 라이브러리, 솔루션, 인공지능, 음성처리, 파이썬, 알고리즘, 챗봇, 소프트웨어개발, 자연어처리(NLP)",https://www.jobkorea.co.kr/Recruit/GI_Read/44408834?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=7
7,㈜벡터시스,딥러닝 엔지니어 모집,"신입·경력,고졸↑,정규직,,경기 용인시,상시채용","딥러닝, 소프트웨어개발, 솔루션, 빅데이터, 데이터레이크, 음성인식, 인공지능",https://www.jobkorea.co.kr/Recruit/GI_Read/44410722?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=8
8,㈜데이터플로,딥러닝 모형 개발 및 최적화,"경력무관,학력무관,정규직 외,,서울 강남구,~05/08(수)","딥러닝, BigData, 빅데이터, 솔루션, BI, 인공지능, DataMining, 소프트웨어개발",https://www.jobkorea.co.kr/Recruit/GI_Read/44407040?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=9
9,㈜딥핑소스,딥러닝 엔지니어 채용,"경력3년↑,대졸↑,정규직,,서울 강남구,상시채용","딥러닝, 소프트웨어개발",https://www.jobkorea.co.kr/Recruit/GI_Read/44382838?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=10
