,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
0,한국산업기술시험원,2024년 2분기 1차수 한국산업기술시험원 위촉 계약직 공개모집,"신입·경력,학력무관,서울 구로구 외,계약직","공공기관, 공기업, 문서관리, 문서작성, 전산입력, 자료조사, 행정, 송무담당, 문서관리, 비품관리, 서무, 행정, 결산, 입출금관리, 재무기획, 재무회계, 재무분석, 관리회계, 재무회계, 회계감사, 기업회계, 언론홍보, 옥외광고, 프로모션, 기업홍보, 오프라인마케팅, 이벤트기획, 인공지능, 외자구매, 자재구매, 구매계약, 바이어개발, 수출입계약, 해외마케팅, 매출관리, 영업기획, 데이터분석, 영업전략, 고객지원, 접수·예약, 보안, 생산기술, 제어·설계, 무인항공기·드론, 기계조작, 위성통신, 에너지, 자동차, 전기·전자, 정보통신·IT, 환경, 연구·실험·기술, 검증, 품질보증, 전기배선, 전기설비, 시공관리, 건설노무, 안전평가, 건설안전, 산업안전, 안전평가, 대기환경, 환경측정, 제약·바이오R&D, 의약외품연구",https://www.jobkorea.co.kr/Recruit/Co_Read/C/16361251
1,㈜한국무역정보통신,2024년 신규(신입/경력)직원 모집,"신입·경력3년↑,대졸↑,경기 성남시 외,정규직","소프트웨어 개발, 영업마케팅, 전자무역, 정보보호솔루션운영, 플랫폼 개발 및 운영, ISMS, 물류서비스 기획, 디지털무역, 물류서비스 확산, 제휴마케팅, 빅데이터, 방화벽, 보안관제, 정보보안, 정보보안, 아키텍처, 인공지능",https://www.jobkorea.co.kr/Recruit/Co_Read/C/159340
2,오스템임플란트㈜,오스템임플란트 연구·개발 / IT·SW 부문 채용,"신입·경력,초대졸↑,서울 강서구 외,정규직 외","UI·UX디자인, 건강, 바이오, 보건, 생명공학, 약국, 의료기기, 서비스기획, 제안·컨설팅, 데이터분석, 콘텐츠기획, UI·UX기획, PM, 서버관리, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 시스템분석, 시스템설계, 시스템운영, 시스템운영, DBMS, DB튜닝, 시스템분석, 시스템설계, 아키텍처, SI개발, 시스템분석, 시스템설계, 펌웨어, 회로설계, 모델링, 자연어처리(NLP), 인공지능, UI·UX기획, 펌웨어, 회로설계, 제품개발, 캐드원, 3D설계, 전기설계, 회로설계, 펌웨어, 회로설계, 전기·전자, 정보통신·IT, 제품개발, R&D, 연구·실험·기술, 제조·공정, 화학·섬유, 제약·바이오R&D, 의료기기연구",https://www.jobkorea.co.kr/Recruit/Co_Read/C/13042
3,랜드소프트㈜,랜드소프트㈜ 2024년도 PM 및 개발자 경력 채용,"경력3년↑,학력무관,서울 서초구 외,정규직","GUI, SM, 빅데이터, 데이터관리, 웹표준·웹접근성, GUI, 데이터분석, 자료조사, SI개발, 솔루션, 테스터, 기록물관리사, 시스템설계, 웹마스터, 기록물관리, 데이터시각화, 시스템분석, 시스템운영, 제안·컨설팅, PM, SI, 서버관리, 시스템운영, 정보보안, SI개발, 시스템분석, 가상현실, 반응형웹, 앱기획, 클라이언트, SI개발, 네트워크관리, 문서작성, 웹마스터, 클라이언트, 콘텐츠기획, SI개발, 시스템분석, 시스템설계, 데이터분석, 인터페이스, 솔루션스아키텍트, 네트워크관리, 네트워크관리, 정보보안, 데이터마이닝, 클라우드개발자, 서무, 서버구축, 시스템설계, 반응형웹, 서비스기획, 서버관리, 클라우드아키텍트, 네트워크관리, 소프트웨어개발, 데이터파이프라인, KMS",https://www.jobkorea.co.kr/Recruit/Co_Read/C/42098498
4,㈜이엠디넷,[LG유플러스 마곡] 디바이스 QA 정규직 채용,"신입·경력1년↑,고졸↑,서울 강서구 외,정규직 외","테스터, IoT, 모바일, 스마트폰, 웹마스터, IPT, 네트웍구축, 네트워크관리, 통신, 디바이스, 서버구축, 검증, 무선통신",https://www.jobkorea.co.kr/Recruit/Co_Read/C/70020
5,㈜BNK시스템,2024년도 경력직원 채용공고,"신입·경력2년↑,학력무관,부산 강서구 외,정규직","모바일앱개발, SM, 빅데이터, 계정계, 데이터레이크, Spring security, Pro-C, 솔루션, C#, Python, CSS, MS-SQL, ETL, 정보처리기사, SI, C#.NET, 정보보안, 보안관제, Oracle, 데이터분석, 정보보안, jsp, C/C++, Spring Framework, Java, aps.net, 소프트웨어개발, 데이터파이프라인, 기술지원",https://www.jobkorea.co.kr/Recruit/Co_Read/C/99717
6,스마트라이프텍㈜,[스마트라이프텍㈜] 2024년 상반기 각 부문별 신입 / 경력직 채용,"신입·경력1년↑,학력무관,서울 금천구 외,정규직 외","쇼핑몰, 전자상거래, B2B, 라이센싱, 브랜딩, 시장분석, 언론홍보, 기업홍보, 이벤트기획, 카페·블로그관리, 키워드광고, SNS마케팅, 바이럴마케팅, 키워드광고, 프로모션, 디지털마케팅, 배너광고, 제휴마케팅, SNS마케팅, SEO, 콘텐츠기획, SNS마케팅, SEO, 언론홍보, 프로모션, 기업홍보, 이벤트기획, 카페·블로그관리, 프로모션, 매체관리, SNS마케팅, 이미지프로세싱, 모션그래픽, 모션그래픽, 영상제작, 게시판관리, 고객지원, 교환·반품, 접수·예약, 민원상담, 온라인상담, CS교육, 고객문의분석, 상담품질관리, 고객경험관리, 방송기획, 방송송출·송신, 방송제작, 영상제작, 방송기획, 방송제작, 방송기획, 방송제작, 영상제작",https://www.jobkorea.co.kr/Recruit/Co_Read/C/43834355
7,㈜티맥스소프트,[TmaxSoft/연구소] AI연구파트장,"경력5년↑,대졸↑,경기 성남시,정규직","BigData, 솔루션, SI, 인공지능, ERP, 모델링, 소프트웨어개발, 자연어처리(NLP)",https://www.jobkorea.co.kr/Recruit/Co_Read/C/309871
8,㈜DYB최선어학원,[직영] 24년 신학기 각 부문 STAFF 모집,"신입·경력,대졸↑,서울 강남구 외,정규직 외,3,000만원 이상","학원운영, 일반학원, SNS마케팅, 키워드광고, 프로모션, 방송기획, 교육상담, 브랜딩, 입시학원, 프로모션, 광고기획, 교육기획, 앱기획, 입시전문가, 바이럴마케팅, 영상제작, 조직문화, 콘텐츠기획, 면접·채용, 콘텐츠기획, 교육기획, 브랜드기획, 전략기획, 인사기획, 서비스기획, 콘텐츠기획, 학생관리, 고객관리, 인코딩, 교육콘텐츠개발, 인사교육, 영어, 데이터분석, 교재개발",https://www.jobkorea.co.kr/Recruit/Co_Read/C/17694266
9,브이아이,"머신비전 S/W개발 모집 공고 (신입, 경력)","신입·경력,초대졸↑,충남 아산시,정규직","딥러닝, 이미지프로세싱, 클라이언트, 컴퓨터",https://www.jobkorea.co.kr/Recruit/Co_Read/C/40885668
