,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
0,매스어답션,프론트엔드 엔지니어 (React.js / 5년 이상),"서울 성동구,경력 5-7년","프론트엔드 엔지니어는 이런 업무를 하시게 됩니다!,자사의 Web/Mobile Application 및 기업용 SaaS 플랫폼 설계 및 개발,최고의 고객경험과 안정적인 서비스 제공을 위한 개선""우리는 이런 분들과 함께하고 싶어요!"",사용자가 겪는 문제를 IT 기술을 통해 주도적으로 해결하려고 노력하는 사람,새로운 기술에 대해 거부감이 없고, 끊임없이 도전하길 좋아하는 사람,팀원들과 기술을 공유하고 함께 성장하는걸 중요하게 생각하는 사람,되는걸 만드는 것 보다 잘 되는 걸 만들기 위해 노력하는 사람,자신의 의견을 적극적으로 말할 수 있는사람""우리팀은 이런 기술들을 활용합니다!"",Front-end: React.js, Next.js, TypeScript, JavaScript, Zustand, Recoil, Redux, emotion.js, SCSS, Webpack,Back-end: TypeScript (Nest.js, Express.js in Node.js),Native App: Flutter, React-Native,Block Chain: Klyatn, Polygon, Luniverse, LINE Blockchain, Solidity,Database: MySQL, MongoDB, DynamoDB,Infra: AWS (EC2, RDS, Lambda, SQS, S3, Amplify, Code Depoly, etc.), Terraform, k8s,Co-work: Github(Mono-Repo, Git-Flow), Slack, Notion, Figma,,개발 경력 5년 이상 혹은 그에 준하는 역량을 갖추신 분,HTML, CSS 및 javascript (ES5 및 ES6+)에 대한 충분한 이해와 개발 경험이 있으신 분,React.js 기반 모던 프론트엔드 생태계에 대한 충분한 이해와 개발 경험이 있으신 분,React-Query, Redux, Zustand, Recoil 등 상태관리 라이브러리에 대한 충분한 이해와 개발 경험이 있으신 분,RESTful API 서버와의 비동기 통신을 이해하고 있으신 분,SPA 및 반응형, 모바일 웹에 대한 이해와 경험이 있으신 분,Styled Component, SCSS, LESS 등 CSS 전처리기 개발 경험이 있으신 분,Webpack, Babel 등을 활용한 프론트엔드 환경 셋팅 경험이 있으신 분,Git을 이용한 버전관리에 대한 이해가 있으신 분,,컴퓨터공학 전공 및 관련학과 우대,디자인 컴포넌트 시스템 환경에서 개발 경험이 있으신 분,웹/모바일 서비스 성능 최적화 경험이 있으신 분,HTTP 통신 및 웹 보안에 대한 이해가 있으신 분,프론트엔드 테스트 및 배포 자동화 경험이 있으신 분,SSR(Server Side Rendering) 개발 경험이 있으신 분,Flutter 등의 Cross Platform 개발 및 Hybrid App 개발 경험이 있으신 분",https://www.wanted.co.kr/wd/214665
1,파트리지시스템즈,자율주행 데이터 솔루션 JAVA 백엔드 개발자,"서울 강남구,경력 3-6년",",자율주행 연구 및 디바이스 시그널 데이터를 처리하는 분석 서비스 백엔드 설계 및 개발,대용량 데이터 스트리밍 처리 및 프로세싱 기능 개발,1. 자격 요건 ,Spring Framework, JVM 기반 SW 설계 경험을 가진 분 (3년 차 이상),대규모 트래픽 처리 가능한 시스템을 설계하고 운영해본 경험이 있으신 분,고가용성의 확장 가능한 시스템에 대해 끊임 없이 고민할 수 있는 사람,변화를 두려워하지 않고, 서비스를 지속적으로 발전시키고 싶은 분,커뮤니케이션을 사랑하며, 개발 문화를 개선하고 함께 발전하고자 하시는 분2. 주요 기술 ,Java, Spring boot, JPA, QueryDSL, MySQL, Redis, RabbitMQ, Kubernetes3. 업무 툴 ,GitHub, GitHub Action, Jira, Notion,,컴퓨터공학 전공자,Kubernetes 기반 개발 경험,오픈소스 활용 경험,새로운 기술에 대한 끊임없는 도전과 성장을 할 수 있는 분",https://www.wanted.co.kr/wd/215123
2,롯데헬스케어,안드로이드 개발자 (5년 이상),"서울 송파구,경력 5-10년",",개인 맞춤형 건강관리 서비스를 제공하는 롯데헬스케어플랫폼 신규 개발,회원, 상품, 주문, 정산 등 e커머스 기능의 서비스 개발,유전자 분석 정보, 건강 정보 등 맞춤형 건강 관리를 위한 서비스 연동 및 개발,,안드로이드 개발 경력 5년 이상 또는 그에 준하는 역량을 보유하신 분,Kotlin 개발 언어에 능숙하신 분,동시성 프로그래밍에 대한 이해 및 Coroutine, Flow 사용 경험 보유하신 분,MVVM 및 Clean 아키텍처에 대한 이해와 설계 역량을 보유하신 분,자신이 사용한 기술과 라이브러리, 프레임워크의 동작 원리에 관심을 가지는 분,설계/코드 리뷰 등 논쟁에서 상대의 관점이 더 현실적이고 적합할 때 기꺼이 수긍할 수 있는 분,서비스와 사용자 중심의 관점과 유연한 커뮤니케이션 역량을 보유하신 분,,주도적으로 문제를 해결하고 개선하고자 하는 의지를 가진 분,e커머스 관련 서비스를 개발해 본 또는 준하는 경험을 하신 분,단순 반복 업무의 프로세스 개선을 스스로 제안하거나, 자동화 솔루션을 개발해보신 분,헬스케어 도메인에서 무언가를 이뤄보고 싶으신 분",https://www.wanted.co.kr/wd/215121
3,에누마,웹프론트엔드 개발자,"서울 성동구,경력 5-15년",",Javascript Framework (React, Vue)을 사용한 자사 웹서비스 및 관리 툴 개발,,학력: 무관,경력: 5년 이상 - HTML, Javascript, CSS에 대한 기본 지식이 있는 분- Vue나 React 중 하나로 3년 이상 개발 경험이 있는 분- GIT 등의 형상 관리 툴의 사용할 수 있는 분- REST API 연동 경험이 있는 분- 다수의 개발자 및 여러 직군과 원활한 협업이 가능한 분- 문제 파악과 개선에 대한 능동적인 자세를 갖춘 분- 서비스 지향적이고 유저 입장에서 고민하고 개발하는 분,,Webpack, Babel 실무 적용 경험,Nuxt, Next 같은 SSR 프레임워크 사용 경험,웹 퍼포먼스 테스트 및 튜닝 경험과 디버깅 능력",https://www.wanted.co.kr/wd/208422
4,럭스로보(LUXROBO),프론트/풀스택 개발자,"서울 강남구,경력 3-10년",",IoT와 AI기술을 이용한 주차 및 보안 통합 솔루션 개발(On-Premise &amp; Cloud 서비스 기반),IoT 디바이스와 웹 서비스 간 연결, 모니터링, 관리 기능 개발,,React, Nextjs, TypeScript 개발 경력 2년 이상,Restful API, GraphQL 연동 유경험자,백엔드 서비스 개발 경험 및 Database에 대한 이해,,Kubernetes, Docker등 Container 기반 환경 개발 경험,웹서비스 기획 및 설계 경험,풀스택 개발 경험(Frontend/ Backend, Flutter)",https://www.wanted.co.kr/wd/215163
5,스카우트,JSP 웹 개발자,"서울 강남구,경력 3-10년",",스카우트 자사 웹 사이트 개발/유지 보수,플랫폼 서비스 개발/유지 보수,,JAVA, JSP, Spring boot, React.js, SQL 개발 경력 3년 이상,IIS, NginX, AWS, Docker, Windows Server, Linux 환경 개발 가능자,Android/IOS Hybrid App 개발 경험자",https://www.wanted.co.kr/wd/214399
6,비포플레이,[Global 서비스] 프론트엔드 개발자,"서울 강남구,경력 7-20년",", 비포플레이 글로벌 사이트 개발(영어, 스페인어, 중국어 등 다국어 지원)   - 비포플레이의 글로벌 웹/앱 클라이언트의 프론트엔드를 담당합니다.,기획/디자인 부서와의 협업,,프론트엔드 실무 경험 7년 이상,새로운 것을 만들어 나가는것에 대하여 거부감이 없으신 분,AWS 등 클라우드 환경에서의 개발 경험,해외(미국) 근무에 결격 사유가 없으신 분,,게임 플레이, 게임유튜브 시청, E-Sports 관람, 어떤 형태로든 게임을 즐기고 사랑하시는 분,앱 / 웹 서비스 개발 및 운영 경험",https://www.wanted.co.kr/wd/123848
7,라텔앤드파트너즈,iOS 개발자 3년 이상,"서울 중구,경력 3-8년",",신규 콘텐츠 서비스 개발에 iOS Application을 개발 및 운영,다른 개발 팀원들과 협업하여 프로덕트의 성장의 목표 달성,,총 보유 경력 3년 이상이거나 이에 준하는 실력을 보유하신 분,iOS 개발에 대한 충분한 자신감을 가지신 분,기획, 디자인, 서버팀 외 마케팅, 운영 등 다양한 팀과 협업이 가능하신 분,Swift with Xcode 코딩에 능숙하신 분,,신규서비스를 처음부터 만들어서 오픈한 경험이 있으신 분,동료와 커뮤니케이션을 즐기며 함께 성장하길 원하는 분,UI/UX에 대한 이해와 관심이 높은 분",https://www.wanted.co.kr/wd/215050
8,유비케어,윈도우개발,"서울 영등포구,경력 3-10년","1. 병의원 및 환자 진료커뮤니케이션 플랫폼 개발 및 운영 - 병의원 환경에 필요한 신규 솔루션 및 제품 설계/개발 - 환자 및 일반인의 진료 접근/편의성 개선을 위한 제품 설계/개발2. 윈도우 애플리케이션 웹 기반 기술 전환,[지원자격] - 경력 3년 이상 10년 이내 - 초대졸(전문학사) 이상[필요기술/지식] - C# 기반의 윈도우 애플리케이션 개발 및 상용화 경험 (필수 : C#, SQL) - RDBMS 기반의 DB관리, 쿼리 작성 경험 -  원활한 소통 능력 및 긍정적 사고,[우대사항 - 하기 항목중 하나이상 보유시 우대함] - C++ / Delphi / Sybase / PostgreSQL / Vue / ASP.NET 기술 경험 - 프로젝트 리드 또는 운영 유지보수 경험 - 의료(병의원) 도메인 지식 보유",https://www.wanted.co.kr/wd/215148
9,덴컴,Front-end 개발자,"서울 강남구,경력 4-10년",",음성인식 AI 서비스 프론트엔드 개발 및 유지보수,음성인식 UX를 고려한 사용자 친화적 인터페이스 구현,코드 리뷰 및 품질 향상을 위한 코드베이스 개선,보안 및 성능 최적화를 고려한 서비스 프론트앤드 개발 [ 기술 ] ,Typescript, Node.js, React.js, Next.js 기반 프론트엔드 개발,Jest, cypress 기반 테스트 개발[ 협업 ],Figma 사용 경험이 있는 분,원활한 커뮤니케이션이 가능한 분,코드 리뷰를 진행해본 경험이 있는 분,UI/UX에 높은 가치를 두고 일하시는 분,,경력 : 4년 이상,,디자인 시스템 구현에 기여한 경험,MSA 서비스 설계 및 개발에 있어 프론트엔드 담당자로 참여한 경험,Electron framework를 사용한 응용프로그램 개발 경력",https://www.wanted.co.kr/wd/214274
